,id,value,date,type,event_id,event_type,frequency,start_time
0,93834,1007.14,2021-02-10 22:18:16.990,pressure,12,cough,25.46,2021-02-10 22:18:17.501
1,93724,23.87,2021-02-10 22:18:17.024,temperature,12,cough,18.19,2021-02-10 22:18:17.189
2,93833,1006.73,2021-02-10 22:18:17.030,pressure,12,cough,25.46,2021-02-10 22:18:17.501
3,93832,1005.82,2021-02-10 22:18:17.069,pressure,12,cough,25.46,2021-02-10 22:18:17.501
4,93723,23.87,2021-02-10 22:18:17.079,temperature,12,cough,18.19,2021-02-10 22:18:17.189
5,93831,1005.69,2021-02-10 22:18:17.108,pressure,12,cough,25.46,2021-02-10 22:18:17.501
6,93722,23.87,2021-02-10 22:18:17.134,temperature,12,cough,18.19,2021-02-10 22:18:17.189
7,93830,1005.67,2021-02-10 22:18:17.147,pressure,12,cough,25.46,2021-02-10 22:18:17.501
8,93829,1005.69,2021-02-10 22:18:17.187,pressure,12,cough,25.46,2021-02-10 22:18:17.501
9,93721,23.87,2021-02-10 22:18:17.189,temperature,12,cough,18.19,2021-02-10 22:18:17.189
10,93828,1006.52,2021-02-10 22:18:17.226,pressure,12,cough,25.46,2021-02-10 22:18:17.501
11,94016,23.87,2021-02-10 22:18:17.259,temperature,12,cough,18.15,2021-02-10 22:18:22.714
12,93827,1006.87,2021-02-10 22:18:17.265,pressure,12,cough,25.46,2021-02-10 22:18:17.501
13,93826,1006.65,2021-02-10 22:18:17.305,pressure,12,cough,25.46,2021-02-10 22:18:17.501
14,94015,23.89,2021-02-10 22:18:17.314,temperature,12,cough,18.15,2021-02-10 22:18:22.714
15,93825,1006.72,2021-02-10 22:18:17.344,pressure,12,cough,25.46,2021-02-10 22:18:17.501
16,94014,23.95,2021-02-10 22:18:17.369,temperature,12,cough,18.15,2021-02-10 22:18:22.714
17,93824,1006.65,2021-02-10 22:18:17.383,pressure,12,cough,25.46,2021-02-10 22:18:17.501
18,93823,1006.07,2021-02-10 22:18:17.422,pressure,12,cough,25.46,2021-02-10 22:18:17.501
19,94013,23.95,2021-02-10 22:18:17.424,temperature,12,cough,18.15,2021-02-10 22:18:22.714
20,93822,1005.31,2021-02-10 22:18:17.462,pressure,12,cough,25.46,2021-02-10 22:18:17.501
21,94012,24.01,2021-02-10 22:18:17.479,temperature,12,cough,18.15,2021-02-10 22:18:22.714
22,93821,1004.96,2021-02-10 22:18:17.501,pressure,12,cough,25.46,2021-02-10 22:18:17.501
23,94011,24.0,2021-02-10 22:18:17.535,temperature,12,cough,18.15,2021-02-10 22:18:22.714
24,94112,1004.82,2021-02-10 22:18:17.542,pressure,12,cough,25.46,2021-02-10 22:18:21.273
25,94111,1004.78,2021-02-10 22:18:17.581,pressure,12,cough,25.46,2021-02-10 22:18:21.273
26,94010,24.01,2021-02-10 22:18:17.590,temperature,12,cough,18.15,2021-02-10 22:18:22.714
27,94110,1004.55,2021-02-10 22:18:17.620,pressure,12,cough,25.46,2021-02-10 22:18:21.273
28,94009,24.05,2021-02-10 22:18:17.645,temperature,12,cough,18.15,2021-02-10 22:18:22.714
29,94109,1004.51,2021-02-10 22:18:17.660,pressure,12,cough,25.46,2021-02-10 22:18:21.273
30,94108,1004.47,2021-02-10 22:18:17.699,pressure,12,cough,25.46,2021-02-10 22:18:21.273
31,94008,23.98,2021-02-10 22:18:17.700,temperature,12,cough,18.15,2021-02-10 22:18:22.714
32,94107,1004.45,2021-02-10 22:18:17.738,pressure,12,cough,25.46,2021-02-10 22:18:21.273
33,94007,24.02,2021-02-10 22:18:17.755,temperature,12,cough,18.15,2021-02-10 22:18:22.714
34,94106,1004.32,2021-02-10 22:18:17.777,pressure,12,cough,25.46,2021-02-10 22:18:21.273
35,94006,24.04,2021-02-10 22:18:17.810,temperature,12,cough,18.15,2021-02-10 22:18:22.714
36,94105,1004.36,2021-02-10 22:18:17.817,pressure,12,cough,25.46,2021-02-10 22:18:21.273
37,94104,1004.38,2021-02-10 22:18:17.856,pressure,12,cough,25.46,2021-02-10 22:18:21.273
38,94005,24.04,2021-02-10 22:18:17.865,temperature,12,cough,18.15,2021-02-10 22:18:22.714
39,94103,1004.39,2021-02-10 22:18:17.895,pressure,12,cough,25.46,2021-02-10 22:18:21.273
40,94004,24.02,2021-02-10 22:18:17.920,temperature,12,cough,18.15,2021-02-10 22:18:22.714
41,94102,1004.52,2021-02-10 22:18:17.935,pressure,12,cough,25.46,2021-02-10 22:18:21.273
42,94101,1004.69,2021-02-10 22:18:17.974,pressure,12,cough,25.46,2021-02-10 22:18:21.273
43,94003,24.06,2021-02-10 22:18:17.975,temperature,12,cough,18.15,2021-02-10 22:18:22.714
44,94100,1004.99,2021-02-10 22:18:18.013,pressure,12,cough,25.46,2021-02-10 22:18:21.273
45,94002,24.01,2021-02-10 22:18:18.030,temperature,12,cough,18.15,2021-02-10 22:18:22.714
46,94099,1005.39,2021-02-10 22:18:18.052,pressure,12,cough,25.46,2021-02-10 22:18:21.273
47,94001,24.08,2021-02-10 22:18:18.085,temperature,12,cough,18.15,2021-02-10 22:18:22.714
48,94098,1005.65,2021-02-10 22:18:18.092,pressure,12,cough,25.46,2021-02-10 22:18:21.273
49,94097,1005.65,2021-02-10 22:18:18.131,pressure,12,cough,25.46,2021-02-10 22:18:21.273
50,94000,24.03,2021-02-10 22:18:18.141,temperature,12,cough,18.15,2021-02-10 22:18:22.714
51,94096,1005.66,2021-02-10 22:18:18.170,pressure,12,cough,25.46,2021-02-10 22:18:21.273
52,93999,24.06,2021-02-10 22:18:18.196,temperature,12,cough,18.15,2021-02-10 22:18:22.714
53,94095,1005.65,2021-02-10 22:18:18.209,pressure,12,cough,25.46,2021-02-10 22:18:21.273
54,94094,1005.64,2021-02-10 22:18:18.249,pressure,12,cough,25.46,2021-02-10 22:18:21.273
55,93998,24.03,2021-02-10 22:18:18.251,temperature,12,cough,18.15,2021-02-10 22:18:22.714
56,94093,1005.64,2021-02-10 22:18:18.288,pressure,12,cough,25.46,2021-02-10 22:18:21.273
57,93997,24.02,2021-02-10 22:18:18.306,temperature,12,cough,18.15,2021-02-10 22:18:22.714
58,94092,1005.6,2021-02-10 22:18:18.327,pressure,12,cough,25.46,2021-02-10 22:18:21.273
59,93996,24.09,2021-02-10 22:18:18.361,temperature,12,cough,18.15,2021-02-10 22:18:22.714
60,94091,1005.64,2021-02-10 22:18:18.367,pressure,12,cough,25.46,2021-02-10 22:18:21.273
61,94090,1005.62,2021-02-10 22:18:18.406,pressure,12,cough,25.46,2021-02-10 22:18:21.273
62,93995,24.06,2021-02-10 22:18:18.416,temperature,12,cough,18.15,2021-02-10 22:18:22.714
63,94089,1005.6,2021-02-10 22:18:18.445,pressure,12,cough,25.46,2021-02-10 22:18:21.273
64,93994,24.09,2021-02-10 22:18:18.471,temperature,12,cough,18.15,2021-02-10 22:18:22.714
65,94088,1005.64,2021-02-10 22:18:18.484,pressure,12,cough,25.46,2021-02-10 22:18:21.273
66,94087,1005.61,2021-02-10 22:18:18.524,pressure,12,cough,25.46,2021-02-10 22:18:21.273
67,93993,24.08,2021-02-10 22:18:18.526,temperature,12,cough,18.15,2021-02-10 22:18:22.714
68,94086,1005.61,2021-02-10 22:18:18.563,pressure,12,cough,25.46,2021-02-10 22:18:21.273
69,93992,24.12,2021-02-10 22:18:18.581,temperature,12,cough,18.15,2021-02-10 22:18:22.714
70,94085,1005.61,2021-02-10 22:18:18.602,pressure,12,cough,25.46,2021-02-10 22:18:21.273
71,93991,24.32,2021-02-10 22:18:18.636,temperature,12,cough,18.15,2021-02-10 22:18:22.714
72,94084,1005.61,2021-02-10 22:18:18.642,pressure,12,cough,25.46,2021-02-10 22:18:21.273
73,94083,1005.6,2021-02-10 22:18:18.681,pressure,12,cough,25.46,2021-02-10 22:18:21.273
74,93990,24.58,2021-02-10 22:18:18.692,temperature,12,cough,18.15,2021-02-10 22:18:22.714
75,94082,1005.64,2021-02-10 22:18:18.720,pressure,12,cough,25.46,2021-02-10 22:18:21.273
76,93989,24.82,2021-02-10 22:18:18.747,temperature,12,cough,18.15,2021-02-10 22:18:22.714
77,94081,1005.61,2021-02-10 22:18:18.759,pressure,12,cough,25.46,2021-02-10 22:18:21.273
78,94080,1005.58,2021-02-10 22:18:18.799,pressure,12,cough,25.46,2021-02-10 22:18:21.273
79,93988,25.03,2021-02-10 22:18:18.802,temperature,12,cough,18.15,2021-02-10 22:18:22.714
80,94079,1006.77,2021-02-10 22:18:18.838,pressure,12,cough,25.46,2021-02-10 22:18:21.273
81,93987,25.17,2021-02-10 22:18:18.857,temperature,12,cough,18.15,2021-02-10 22:18:22.714
82,94078,1007.1,2021-02-10 22:18:18.877,pressure,12,cough,25.46,2021-02-10 22:18:21.273
83,93986,25.3,2021-02-10 22:18:18.912,temperature,12,cough,18.15,2021-02-10 22:18:22.714
84,94077,1006.87,2021-02-10 22:18:18.916,pressure,12,cough,25.46,2021-02-10 22:18:21.273
85,94076,1006.83,2021-02-10 22:18:18.956,pressure,12,cough,25.46,2021-02-10 22:18:21.273
86,93985,25.47,2021-02-10 22:18:18.967,temperature,12,cough,18.15,2021-02-10 22:18:22.714
87,94075,1006.76,2021-02-10 22:18:18.995,pressure,12,cough,25.46,2021-02-10 22:18:21.273
88,93984,25.65,2021-02-10 22:18:19.022,temperature,12,cough,18.15,2021-02-10 22:18:22.714
89,94074,1006.05,2021-02-10 22:18:19.034,pressure,12,cough,25.46,2021-02-10 22:18:21.273
90,94073,1005.66,2021-02-10 22:18:19.074,pressure,12,cough,25.46,2021-02-10 22:18:21.273
