,id,value,date,type,event_id,event_type,frequency,start_time
0,14746,22.04,2021-02-10 16:24:58.082,temperature,2,mask_off,18.16,2021-02-10 16:24:58.357
1,15004,1007.15,2021-02-10 16:24:58.087,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
2,15003,1007.14,2021-02-10 16:24:58.127,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
3,14745,22.03,2021-02-10 16:24:58.137,temperature,2,mask_off,18.16,2021-02-10 16:24:58.357
4,15002,1007.14,2021-02-10 16:24:58.166,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
5,14744,22.04,2021-02-10 16:24:58.192,temperature,2,mask_off,18.16,2021-02-10 16:24:58.357
6,15001,1007.14,2021-02-10 16:24:58.205,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
7,15000,1007.14,2021-02-10 16:24:58.245,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
8,14743,22.04,2021-02-10 16:24:58.247,temperature,2,mask_off,18.16,2021-02-10 16:24:58.357
9,14999,1007.14,2021-02-10 16:24:58.284,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
10,14742,22.02,2021-02-10 16:24:58.302,temperature,2,mask_off,18.16,2021-02-10 16:24:58.357
11,14998,1007.09,2021-02-10 16:24:58.324,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
12,14741,22.01,2021-02-10 16:24:58.357,temperature,2,mask_off,18.16,2021-02-10 16:24:58.357
13,14997,1007.14,2021-02-10 16:24:58.363,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
14,14996,1007.12,2021-02-10 16:24:58.402,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
15,15132,22.03,2021-02-10 16:24:58.411,temperature,2,mask_off,18.18,2021-02-10 16:25:03.856
16,14995,1007.15,2021-02-10 16:24:58.442,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
17,15131,22.02,2021-02-10 16:24:58.466,temperature,2,mask_off,18.18,2021-02-10 16:25:03.856
18,14994,1007.12,2021-02-10 16:24:58.481,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
19,14993,1007.12,2021-02-10 16:24:58.520,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
20,15130,22.04,2021-02-10 16:24:58.521,temperature,2,mask_off,18.18,2021-02-10 16:25:03.856
21,14992,1007.15,2021-02-10 16:24:58.560,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
22,15129,22.04,2021-02-10 16:24:58.576,temperature,2,mask_off,18.18,2021-02-10 16:25:03.856
23,14991,1007.14,2021-02-10 16:24:58.599,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
24,15128,22.02,2021-02-10 16:24:58.631,temperature,2,mask_off,18.18,2021-02-10 16:25:03.856
25,14990,1007.13,2021-02-10 16:24:58.639,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
26,14989,1007.12,2021-02-10 16:24:58.678,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
27,15127,22.01,2021-02-10 16:24:58.686,temperature,2,mask_off,18.18,2021-02-10 16:25:03.856
28,14988,1007.11,2021-02-10 16:24:58.717,pressure,2,mask_off,25.4,2021-02-10 16:25:00.725
29,15126,22.03,2021-02-10 16:24:58.741,temperature,2,mask_off,18.18,2021-02-10 16:25:03.856
