,id,value,date,type,event_id,event_type,frequency,start_time
0,202,1007.86,2021-02-10 15:11:17.770,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.966
1,349,26.92,2021-02-10 15:11:17.805,temperature,1,normal_breathing,18.18,2021-02-10 15:11:20.885
2,201,1007.86,2021-02-10 15:11:17.809,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.966
3,200,1007.9,2021-02-10 15:11:17.848,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.966
4,348,26.84,2021-02-10 15:11:17.860,temperature,1,normal_breathing,18.18,2021-02-10 15:11:20.885
5,199,1007.86,2021-02-10 15:11:17.887,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.966
6,347,26.75,2021-02-10 15:11:17.915,temperature,1,normal_breathing,18.18,2021-02-10 15:11:20.885
7,198,1007.88,2021-02-10 15:11:17.927,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.966
8,197,1007.89,2021-02-10 15:11:17.966,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.966
9,346,26.69,2021-02-10 15:11:17.970,temperature,1,normal_breathing,18.18,2021-02-10 15:11:20.885
10,488,1007.87,2021-02-10 15:11:18.000,pressure,1,normal_breathing,25.44,2021-02-10 15:11:21.734
11,345,26.69,2021-02-10 15:11:18.025,temperature,1,normal_breathing,18.18,2021-02-10 15:11:20.885
12,487,1007.88,2021-02-10 15:11:18.039,pressure,1,normal_breathing,25.44,2021-02-10 15:11:21.734
13,486,1007.85,2021-02-10 15:11:18.079,pressure,1,normal_breathing,25.44,2021-02-10 15:11:21.734
14,344,26.61,2021-02-10 15:11:18.080,temperature,1,normal_breathing,18.18,2021-02-10 15:11:20.885
15,485,1007.86,2021-02-10 15:11:18.118,pressure,1,normal_breathing,25.44,2021-02-10 15:11:21.734
16,343,26.58,2021-02-10 15:11:18.135,temperature,1,normal_breathing,18.18,2021-02-10 15:11:20.885
17,484,1007.84,2021-02-10 15:11:18.157,pressure,1,normal_breathing,25.44,2021-02-10 15:11:21.734
18,342,26.5,2021-02-10 15:11:18.190,temperature,1,normal_breathing,18.18,2021-02-10 15:11:20.885
19,483,1007.83,2021-02-10 15:11:18.197,pressure,1,normal_breathing,25.44,2021-02-10 15:11:21.734
20,482,1007.8,2021-02-10 15:11:18.236,pressure,1,normal_breathing,25.44,2021-02-10 15:11:21.734
21,341,26.56,2021-02-10 15:11:18.245,temperature,1,normal_breathing,18.18,2021-02-10 15:11:20.885
