,id,value,date,type,event_id,event_type,datetime,start_time
0,4693,1024.88,2021-02-11T01:31:43.063Z,pressure,3,normal_breathing,31:43.1,2021-02-11T01:31:43.063Z
1,4857,32.35,2021-02-11T01:31:43.084Z,temperature,3,normal_breathing,31:43.1,2021-02-11T01:31:43.063Z
2,4692,1024.81,2021-02-11T01:31:43.104Z,pressure,3,normal_breathing,31:43.1,2021-02-11T01:31:43.063Z
3,4856,32.43,2021-02-11T01:31:43.139Z,temperature,3,normal_breathing,31:43.1,2021-02-11T01:31:43.063Z
4,4691,1024.79,2021-02-11T01:31:43.145Z,pressure,3,normal_breathing,31:43.1,2021-02-11T01:31:43.063Z
5,4980,1024.81,2021-02-11T01:31:43.177Z,pressure,3,normal_breathing,31:43.2,2021-02-11T01:31:43.063Z
6,4690,1024.79,2021-02-11T01:31:43.186Z,pressure,3,normal_breathing,31:43.2,2021-02-11T01:31:43.063Z
7,4855,32.43,2021-02-11T01:31:43.194Z,temperature,3,normal_breathing,31:43.2,2021-02-11T01:31:43.063Z
8,4979,1024.79,2021-02-11T01:31:43.218Z,pressure,3,normal_breathing,31:43.2,2021-02-11T01:31:43.063Z
9,4689,1024.83,2021-02-11T01:31:43.228Z,pressure,3,normal_breathing,31:43.2,2021-02-11T01:31:43.063Z
10,4854,32.46,2021-02-11T01:31:43.249Z,temperature,3,normal_breathing,31:43.2,2021-02-11T01:31:43.063Z
11,4978,1024.77,2021-02-11T01:31:43.260Z,pressure,3,normal_breathing,31:43.3,2021-02-11T01:31:43.063Z
12,4977,1024.75,2021-02-11T01:31:43.301Z,pressure,3,normal_breathing,31:43.3,2021-02-11T01:31:43.063Z
13,4853,32.5,2021-02-11T01:31:43.304Z,temperature,3,normal_breathing,31:43.3,2021-02-11T01:31:43.063Z
14,4976,1024.75,2021-02-11T01:31:43.342Z,pressure,3,normal_breathing,31:43.3,2021-02-11T01:31:43.063Z
