,id,value,date,type,event_id,event_type,datetime,start_time
0,5673,1025.17,2021-02-11T02:10:12.422Z,pressure,4,normal_breathing,10:12.4,2021-02-11T02:10:12.422Z
1,5809,30.74,2021-02-11T02:10:12.431Z,temperature,4,normal_breathing,10:12.4,2021-02-11T02:10:12.422Z
2,5672,1025.16,2021-02-11T02:10:12.463Z,pressure,4,normal_breathing,10:12.5,2021-02-11T02:10:12.422Z
3,5808,30.77,2021-02-11T02:10:12.486Z,temperature,4,normal_breathing,10:12.5,2021-02-11T02:10:12.422Z
4,5671,1025.13,2021-02-11T02:10:12.504Z,pressure,4,normal_breathing,10:12.5,2021-02-11T02:10:12.422Z
5,5807,30.72,2021-02-11T02:10:12.542Z,temperature,4,normal_breathing,10:12.5,2021-02-11T02:10:12.422Z
6,5670,1025.13,2021-02-11T02:10:12.546Z,pressure,4,normal_breathing,10:12.5,2021-02-11T02:10:12.422Z
7,5669,1025.13,2021-02-11T02:10:12.587Z,pressure,4,normal_breathing,10:12.6,2021-02-11T02:10:12.422Z
8,5806,30.78,2021-02-11T02:10:12.597Z,temperature,4,normal_breathing,10:12.6,2021-02-11T02:10:12.422Z
9,5668,1025.16,2021-02-11T02:10:12.628Z,pressure,4,normal_breathing,10:12.6,2021-02-11T02:10:12.422Z
10,5805,30.81,2021-02-11T02:10:12.652Z,temperature,4,normal_breathing,10:12.7,2021-02-11T02:10:12.422Z
11,5667,1025.16,2021-02-11T02:10:12.670Z,pressure,4,normal_breathing,10:12.7,2021-02-11T02:10:12.422Z
12,5804,30.8,2021-02-11T02:10:12.707Z,temperature,4,normal_breathing,10:12.7,2021-02-11T02:10:12.422Z
13,5666,1025.13,2021-02-11T02:10:12.711Z,pressure,4,normal_breathing,10:12.7,2021-02-11T02:10:12.422Z
14,5665,1025.1,2021-02-11T02:10:12.752Z,pressure,4,normal_breathing,10:12.8,2021-02-11T02:10:12.422Z
15,5803,30.92,2021-02-11T02:10:12.762Z,temperature,4,normal_breathing,10:12.8,2021-02-11T02:10:12.422Z
16,5956,1025.14,2021-02-11T02:10:12.788Z,pressure,4,normal_breathing,10:12.8,2021-02-11T02:10:12.422Z
17,5802,30.94,2021-02-11T02:10:12.817Z,temperature,4,normal_breathing,10:12.8,2021-02-11T02:10:12.422Z
18,5955,1025.15,2021-02-11T02:10:12.829Z,pressure,4,normal_breathing,10:12.8,2021-02-11T02:10:12.422Z
19,5954,1025.15,2021-02-11T02:10:12.870Z,pressure,4,normal_breathing,10:12.9,2021-02-11T02:10:12.422Z
20,5801,30.96,2021-02-11T02:10:12.872Z,temperature,4,normal_breathing,10:12.9,2021-02-11T02:10:12.422Z
21,5953,1025.14,2021-02-11T02:10:12.912Z,pressure,4,normal_breathing,10:12.9,2021-02-11T02:10:12.422Z
22,5800,30.96,2021-02-11T02:10:12.927Z,temperature,4,normal_breathing,10:12.9,2021-02-11T02:10:12.422Z
23,5952,1025.11,2021-02-11T02:10:12.953Z,pressure,4,normal_breathing,10:13.0,2021-02-11T02:10:12.422Z
24,5799,31.01,2021-02-11T02:10:12.982Z,temperature,4,normal_breathing,10:13.0,2021-02-11T02:10:12.422Z
25,5951,1025.13,2021-02-11T02:10:12.994Z,pressure,4,normal_breathing,10:13.0,2021-02-11T02:10:12.422Z
26,5950,1025.13,2021-02-11T02:10:13.035Z,pressure,4,normal_breathing,10:13.0,2021-02-11T02:10:12.422Z
27,5798,31.04,2021-02-11T02:10:13.037Z,temperature,4,normal_breathing,10:13.0,2021-02-11T02:10:12.422Z
28,5949,1025.16,2021-02-11T02:10:13.077Z,pressure,4,normal_breathing,10:13.1,2021-02-11T02:10:12.422Z
29,5797,31.09,2021-02-11T02:10:13.092Z,temperature,4,normal_breathing,10:13.1,2021-02-11T02:10:12.422Z
30,5948,1025.14,2021-02-11T02:10:13.118Z,pressure,4,normal_breathing,10:13.1,2021-02-11T02:10:12.422Z
31,5796,31.16,2021-02-11T02:10:13.147Z,temperature,4,normal_breathing,10:13.1,2021-02-11T02:10:12.422Z
32,5947,1025.14,2021-02-11T02:10:13.159Z,pressure,4,normal_breathing,10:13.2,2021-02-11T02:10:12.422Z
33,5946,1025.12,2021-02-11T02:10:13.201Z,pressure,4,normal_breathing,10:13.2,2021-02-11T02:10:12.422Z
