,id,value,date,type,event_id,event_type,datetime,start_time
0,25949,1025.06,2021-02-11T02:18:05.753Z,pressure,15,talking,18:05.8,2021-02-11T02:18:05.753Z
1,25859,32.83,2021-02-11T02:18:05.770Z,temperature,15,talking,18:05.8,2021-02-11T02:18:05.753Z
2,25948,1025.11,2021-02-11T02:18:05.794Z,pressure,15,talking,18:05.8,2021-02-11T02:18:05.753Z
3,25858,32.79,2021-02-11T02:18:05.825Z,temperature,15,talking,18:05.8,2021-02-11T02:18:05.753Z
4,25947,1025.09,2021-02-11T02:18:05.835Z,pressure,15,talking,18:05.8,2021-02-11T02:18:05.753Z
5,25946,1025.1,2021-02-11T02:18:05.877Z,pressure,15,talking,18:05.9,2021-02-11T02:18:05.753Z
6,25857,32.87,2021-02-11T02:18:05.880Z,temperature,15,talking,18:05.9,2021-02-11T02:18:05.753Z
7,25945,1025.1,2021-02-11T02:18:05.918Z,pressure,15,talking,18:05.9,2021-02-11T02:18:05.753Z
8,25856,32.92,2021-02-11T02:18:05.935Z,temperature,15,talking,18:05.9,2021-02-11T02:18:05.753Z
9,25944,1025.11,2021-02-11T02:18:05.959Z,pressure,15,talking,18:06.0,2021-02-11T02:18:05.753Z
10,25855,32.9,2021-02-11T02:18:05.990Z,temperature,15,talking,18:06.0,2021-02-11T02:18:05.753Z
11,25943,1025.11,2021-02-11T02:18:06.000Z,pressure,15,talking,18:06.0,2021-02-11T02:18:05.753Z
12,25942,1025.08,2021-02-11T02:18:06.042Z,pressure,15,talking,18:06.0,2021-02-11T02:18:05.753Z
13,25854,32.88,2021-02-11T02:18:06.045Z,temperature,15,talking,18:06.0,2021-02-11T02:18:05.753Z
14,25941,1025.07,2021-02-11T02:18:06.083Z,pressure,15,talking,18:06.1,2021-02-11T02:18:05.753Z
15,25853,32.9,2021-02-11T02:18:06.100Z,temperature,15,talking,18:06.1,2021-02-11T02:18:05.753Z
16,25940,1025.07,2021-02-11T02:18:06.124Z,pressure,15,talking,18:06.1,2021-02-11T02:18:05.753Z
17,25852,32.93,2021-02-11T02:18:06.155Z,temperature,15,talking,18:06.2,2021-02-11T02:18:05.753Z
18,25939,1025.05,2021-02-11T02:18:06.166Z,pressure,15,talking,18:06.2,2021-02-11T02:18:05.753Z
19,25938,1025.06,2021-02-11T02:18:06.207Z,pressure,15,talking,18:06.2,2021-02-11T02:18:05.753Z
20,25851,32.93,2021-02-11T02:18:06.210Z,temperature,15,talking,18:06.2,2021-02-11T02:18:05.753Z
21,25937,1025.08,2021-02-11T02:18:06.248Z,pressure,15,talking,18:06.2,2021-02-11T02:18:05.753Z
22,25850,32.96,2021-02-11T02:18:06.265Z,temperature,15,talking,18:06.3,2021-02-11T02:18:05.753Z
23,25936,1025.07,2021-02-11T02:18:06.289Z,pressure,15,talking,18:06.3,2021-02-11T02:18:05.753Z
24,25849,32.96,2021-02-11T02:18:06.320Z,temperature,15,talking,18:06.3,2021-02-11T02:18:05.753Z
25,25935,1025.06,2021-02-11T02:18:06.331Z,pressure,15,talking,18:06.3,2021-02-11T02:18:05.753Z
26,25934,1025.11,2021-02-11T02:18:06.372Z,pressure,15,talking,18:06.4,2021-02-11T02:18:05.753Z
27,25848,32.99,2021-02-11T02:18:06.375Z,temperature,15,talking,18:06.4,2021-02-11T02:18:05.753Z
28,25933,1025.08,2021-02-11T02:18:06.413Z,pressure,15,talking,18:06.4,2021-02-11T02:18:05.753Z
29,25847,33.02,2021-02-11T02:18:06.430Z,temperature,15,talking,18:06.4,2021-02-11T02:18:05.753Z
30,25932,1025.1,2021-02-11T02:18:06.455Z,pressure,15,talking,18:06.5,2021-02-11T02:18:05.753Z
31,25846,33.02,2021-02-11T02:18:06.485Z,temperature,15,talking,18:06.5,2021-02-11T02:18:05.753Z
32,25931,1025.1,2021-02-11T02:18:06.496Z,pressure,15,talking,18:06.5,2021-02-11T02:18:05.753Z
33,25930,1025.09,2021-02-11T02:18:06.537Z,pressure,15,talking,18:06.5,2021-02-11T02:18:05.753Z
34,25845,33.05,2021-02-11T02:18:06.540Z,temperature,15,talking,18:06.5,2021-02-11T02:18:05.753Z
35,25929,1025.07,2021-02-11T02:18:06.578Z,pressure,15,talking,18:06.6,2021-02-11T02:18:05.753Z
36,25844,33.04,2021-02-11T02:18:06.595Z,temperature,15,talking,18:06.6,2021-02-11T02:18:05.753Z
37,25928,1025.04,2021-02-11T02:18:06.620Z,pressure,15,talking,18:06.6,2021-02-11T02:18:05.753Z
38,25843,33.05,2021-02-11T02:18:06.650Z,temperature,15,talking,18:06.6,2021-02-11T02:18:05.753Z
39,25927,1025.05,2021-02-11T02:18:06.661Z,pressure,15,talking,18:06.7,2021-02-11T02:18:05.753Z
40,25926,1025.06,2021-02-11T02:18:06.702Z,pressure,15,talking,18:06.7,2021-02-11T02:18:05.753Z
41,25842,33.03,2021-02-11T02:18:06.705Z,temperature,15,talking,18:06.7,2021-02-11T02:18:05.753Z
42,25925,1025.05,2021-02-11T02:18:06.744Z,pressure,15,talking,18:06.7,2021-02-11T02:18:05.753Z
43,25841,33.05,2021-02-11T02:18:06.760Z,temperature,15,talking,18:06.8,2021-02-11T02:18:05.753Z
44,25924,1025.03,2021-02-11T02:18:06.785Z,pressure,15,talking,18:06.8,2021-02-11T02:18:05.753Z
45,25840,33.02,2021-02-11T02:18:06.815Z,temperature,15,talking,18:06.8,2021-02-11T02:18:05.753Z
46,25923,1024.99,2021-02-11T02:18:06.826Z,pressure,15,talking,18:06.8,2021-02-11T02:18:05.753Z
47,25922,1025.01,2021-02-11T02:18:06.867Z,pressure,15,talking,18:06.9,2021-02-11T02:18:05.753Z
48,25839,33.01,2021-02-11T02:18:06.870Z,temperature,15,talking,18:06.9,2021-02-11T02:18:05.753Z
49,25921,1025.01,2021-02-11T02:18:06.909Z,pressure,15,talking,18:06.9,2021-02-11T02:18:05.753Z
50,25838,33.04,2021-02-11T02:18:06.925Z,temperature,15,talking,18:06.9,2021-02-11T02:18:05.753Z
51,25920,1024.96,2021-02-11T02:18:06.950Z,pressure,15,talking,18:06.9,2021-02-11T02:18:05.753Z
52,25837,32.97,2021-02-11T02:18:06.980Z,temperature,15,talking,18:07.0,2021-02-11T02:18:05.753Z
53,25919,1024.94,2021-02-11T02:18:06.991Z,pressure,15,talking,18:07.0,2021-02-11T02:18:05.753Z
54,25918,1024.92,2021-02-11T02:18:07.033Z,pressure,15,talking,18:07.0,2021-02-11T02:18:05.753Z
55,25836,32.78,2021-02-11T02:18:07.035Z,temperature,15,talking,18:07.0,2021-02-11T02:18:05.753Z
56,25917,1024.96,2021-02-11T02:18:07.074Z,pressure,15,talking,18:07.1,2021-02-11T02:18:05.753Z
57,25835,32.66,2021-02-11T02:18:07.090Z,temperature,15,talking,18:07.1,2021-02-11T02:18:05.753Z
58,25916,1024.92,2021-02-11T02:18:07.115Z,pressure,15,talking,18:07.1,2021-02-11T02:18:05.753Z
59,25834,32.64,2021-02-11T02:18:07.145Z,temperature,15,talking,18:07.1,2021-02-11T02:18:05.753Z
60,25915,1024.98,2021-02-11T02:18:07.156Z,pressure,15,talking,18:07.2,2021-02-11T02:18:05.753Z
61,25914,1024.98,2021-02-11T02:18:07.198Z,pressure,15,talking,18:07.2,2021-02-11T02:18:05.753Z
62,25833,32.61,2021-02-11T02:18:07.200Z,temperature,15,talking,18:07.2,2021-02-11T02:18:05.753Z
63,25913,1024.93,2021-02-11T02:18:07.239Z,pressure,15,talking,18:07.2,2021-02-11T02:18:05.753Z
64,25832,32.62,2021-02-11T02:18:07.255Z,temperature,15,talking,18:07.3,2021-02-11T02:18:05.753Z
65,25912,1024.94,2021-02-11T02:18:07.280Z,pressure,15,talking,18:07.3,2021-02-11T02:18:05.753Z
66,25831,32.66,2021-02-11T02:18:07.310Z,temperature,15,talking,18:07.3,2021-02-11T02:18:05.753Z
67,25911,1024.92,2021-02-11T02:18:07.322Z,pressure,15,talking,18:07.3,2021-02-11T02:18:05.753Z
68,25910,1024.93,2021-02-11T02:18:07.363Z,pressure,15,talking,18:07.4,2021-02-11T02:18:05.753Z
69,25830,32.66,2021-02-11T02:18:07.365Z,temperature,15,talking,18:07.4,2021-02-11T02:18:05.753Z
70,25909,1024.93,2021-02-11T02:18:07.404Z,pressure,15,talking,18:07.4,2021-02-11T02:18:05.753Z
71,25829,32.6,2021-02-11T02:18:07.420Z,temperature,15,talking,18:07.4,2021-02-11T02:18:05.753Z
72,25908,1024.96,2021-02-11T02:18:07.445Z,pressure,15,talking,18:07.4,2021-02-11T02:18:05.753Z
73,25828,32.66,2021-02-11T02:18:07.475Z,temperature,15,talking,18:07.5,2021-02-11T02:18:05.753Z
74,25907,1024.98,2021-02-11T02:18:07.487Z,pressure,15,talking,18:07.5,2021-02-11T02:18:05.753Z
75,25906,1024.94,2021-02-11T02:18:07.528Z,pressure,15,talking,18:07.5,2021-02-11T02:18:05.753Z
76,25827,32.66,2021-02-11T02:18:07.530Z,temperature,15,talking,18:07.5,2021-02-11T02:18:05.753Z
77,25905,1024.9,2021-02-11T02:18:07.569Z,pressure,15,talking,18:07.6,2021-02-11T02:18:05.753Z
78,25826,32.66,2021-02-11T02:18:07.585Z,temperature,15,talking,18:07.6,2021-02-11T02:18:05.753Z
79,25904,1024.96,2021-02-11T02:18:07.611Z,pressure,15,talking,18:07.6,2021-02-11T02:18:05.753Z
80,25825,32.72,2021-02-11T02:18:07.640Z,temperature,15,talking,18:07.6,2021-02-11T02:18:05.753Z
81,25903,1025.02,2021-02-11T02:18:07.652Z,pressure,15,talking,18:07.7,2021-02-11T02:18:05.753Z
82,25902,1025.05,2021-02-11T02:18:07.693Z,pressure,15,talking,18:07.7,2021-02-11T02:18:05.753Z
