,id,value,date,type,event_id,event_type,frequency,start_time
0,77149,1006.64,2021-02-10 18:34:38.821,pressure,9,talking,25.48,2021-02-10 18:34:39.763
1,77291,27.09,2021-02-10 18:34:38.832,temperature,9,talking,18.12,2021-02-10 18:34:42.695
2,77148,1006.64,2021-02-10 18:34:38.860,pressure,9,talking,25.48,2021-02-10 18:34:39.763
3,77290,27.12,2021-02-10 18:34:38.887,temperature,9,talking,18.12,2021-02-10 18:34:42.695
4,77147,1006.73,2021-02-10 18:34:38.899,pressure,9,talking,25.48,2021-02-10 18:34:39.763
5,77146,1006.77,2021-02-10 18:34:38.939,pressure,9,talking,25.48,2021-02-10 18:34:39.763
6,77289,27.12,2021-02-10 18:34:38.942,temperature,9,talking,18.12,2021-02-10 18:34:42.695
7,77145,1006.98,2021-02-10 18:34:38.978,pressure,9,talking,25.48,2021-02-10 18:34:39.763
8,77288,27.14,2021-02-10 18:34:38.998,temperature,9,talking,18.12,2021-02-10 18:34:42.695
9,77144,1006.98,2021-02-10 18:34:39.017,pressure,9,talking,25.48,2021-02-10 18:34:39.763
10,77287,27.2,2021-02-10 18:34:39.053,temperature,9,talking,18.12,2021-02-10 18:34:42.695
11,77143,1006.96,2021-02-10 18:34:39.056,pressure,9,talking,25.48,2021-02-10 18:34:39.763
12,77142,1006.95,2021-02-10 18:34:39.096,pressure,9,talking,25.48,2021-02-10 18:34:39.763
13,77286,27.23,2021-02-10 18:34:39.108,temperature,9,talking,18.12,2021-02-10 18:34:42.695
14,77141,1006.97,2021-02-10 18:34:39.135,pressure,9,talking,25.48,2021-02-10 18:34:39.763
15,77285,27.19,2021-02-10 18:34:39.163,temperature,9,talking,18.12,2021-02-10 18:34:42.695
16,77140,1006.95,2021-02-10 18:34:39.174,pressure,9,talking,25.48,2021-02-10 18:34:39.763
17,77139,1006.96,2021-02-10 18:34:39.213,pressure,9,talking,25.48,2021-02-10 18:34:39.763
18,77284,27.23,2021-02-10 18:34:39.218,temperature,9,talking,18.12,2021-02-10 18:34:42.695
19,77138,1006.94,2021-02-10 18:34:39.253,pressure,9,talking,25.48,2021-02-10 18:34:39.763
20,77283,27.27,2021-02-10 18:34:39.273,temperature,9,talking,18.12,2021-02-10 18:34:42.695
21,77137,1006.87,2021-02-10 18:34:39.292,pressure,9,talking,25.48,2021-02-10 18:34:39.763
22,77282,27.24,2021-02-10 18:34:39.329,temperature,9,talking,18.12,2021-02-10 18:34:42.695
23,77136,1006.91,2021-02-10 18:34:39.331,pressure,9,talking,25.48,2021-02-10 18:34:39.763
24,77135,1006.83,2021-02-10 18:34:39.370,pressure,9,talking,25.48,2021-02-10 18:34:39.763
25,77281,27.32,2021-02-10 18:34:39.384,temperature,9,talking,18.12,2021-02-10 18:34:42.695
26,77134,1006.83,2021-02-10 18:34:39.410,pressure,9,talking,25.48,2021-02-10 18:34:39.763
27,77280,27.32,2021-02-10 18:34:39.439,temperature,9,talking,18.12,2021-02-10 18:34:42.695
28,77133,1006.83,2021-02-10 18:34:39.449,pressure,9,talking,25.48,2021-02-10 18:34:39.763
29,77132,1006.79,2021-02-10 18:34:39.488,pressure,9,talking,25.48,2021-02-10 18:34:39.763
30,77279,27.34,2021-02-10 18:34:39.494,temperature,9,talking,18.12,2021-02-10 18:34:42.695
31,77131,1006.79,2021-02-10 18:34:39.527,pressure,9,talking,25.48,2021-02-10 18:34:39.763
32,77278,27.3,2021-02-10 18:34:39.549,temperature,9,talking,18.12,2021-02-10 18:34:42.695
33,77130,1006.77,2021-02-10 18:34:39.567,pressure,9,talking,25.48,2021-02-10 18:34:39.763
34,77277,27.32,2021-02-10 18:34:39.605,temperature,9,talking,18.12,2021-02-10 18:34:42.695
35,77129,1006.72,2021-02-10 18:34:39.606,pressure,9,talking,25.48,2021-02-10 18:34:39.763
36,77128,1006.69,2021-02-10 18:34:39.645,pressure,9,talking,25.48,2021-02-10 18:34:39.763
37,77276,27.31,2021-02-10 18:34:39.660,temperature,9,talking,18.12,2021-02-10 18:34:42.695
38,77127,1006.74,2021-02-10 18:34:39.684,pressure,9,talking,25.48,2021-02-10 18:34:39.763
39,77275,27.35,2021-02-10 18:34:39.715,temperature,9,talking,18.12,2021-02-10 18:34:42.695
40,77126,1006.74,2021-02-10 18:34:39.724,pressure,9,talking,25.48,2021-02-10 18:34:39.763
41,77125,1006.7,2021-02-10 18:34:39.763,pressure,9,talking,25.48,2021-02-10 18:34:39.763
42,77274,27.32,2021-02-10 18:34:39.770,temperature,9,talking,18.12,2021-02-10 18:34:42.695
43,77416,1006.7,2021-02-10 18:34:39.802,pressure,9,talking,25.48,2021-02-10 18:34:43.530
44,77273,27.32,2021-02-10 18:34:39.825,temperature,9,talking,18.12,2021-02-10 18:34:42.695
45,77415,1006.75,2021-02-10 18:34:39.841,pressure,9,talking,25.48,2021-02-10 18:34:43.530
46,77414,1006.73,2021-02-10 18:34:39.880,pressure,9,talking,25.48,2021-02-10 18:34:43.530
47,77272,27.31,2021-02-10 18:34:39.881,temperature,9,talking,18.12,2021-02-10 18:34:42.695
48,77413,1006.73,2021-02-10 18:34:39.919,pressure,9,talking,25.48,2021-02-10 18:34:43.530
49,77271,27.34,2021-02-10 18:34:39.936,temperature,9,talking,18.12,2021-02-10 18:34:42.695
50,77412,1006.76,2021-02-10 18:34:39.959,pressure,9,talking,25.48,2021-02-10 18:34:43.530
51,77270,27.28,2021-02-10 18:34:39.991,temperature,9,talking,18.12,2021-02-10 18:34:42.695
