,id,value,date,type,event_id,event_type,datetime,start_time
0,4859,1024.74,2021-02-11T01:55:17.151Z,pressure,3,talking,55:17.2,2021-02-11T01:55:17.151Z
1,4759,31.83,2021-02-11T01:55:17.190Z,temperature,3,talking,55:17.2,2021-02-11T01:55:17.151Z
2,4858,1024.68,2021-02-11T01:55:17.193Z,pressure,3,talking,55:17.2,2021-02-11T01:55:17.151Z
3,4857,1024.63,2021-02-11T01:55:17.234Z,pressure,3,talking,55:17.2,2021-02-11T01:55:17.151Z
4,4758,31.84,2021-02-11T01:55:17.245Z,temperature,3,talking,55:17.2,2021-02-11T01:55:17.151Z
5,4856,1024.68,2021-02-11T01:55:17.275Z,pressure,3,talking,55:17.3,2021-02-11T01:55:17.151Z
6,4757,31.89,2021-02-11T01:55:17.300Z,temperature,3,talking,55:17.3,2021-02-11T01:55:17.151Z
7,4855,1024.71,2021-02-11T01:55:17.317Z,pressure,3,talking,55:17.3,2021-02-11T01:55:17.151Z
8,4756,31.92,2021-02-11T01:55:17.355Z,temperature,3,talking,55:17.4,2021-02-11T01:55:17.151Z
9,4854,1024.62,2021-02-11T01:55:17.358Z,pressure,3,talking,55:17.4,2021-02-11T01:55:17.151Z
10,4853,1024.64,2021-02-11T01:55:17.399Z,pressure,3,talking,55:17.4,2021-02-11T01:55:17.151Z
11,4755,31.94,2021-02-11T01:55:17.410Z,temperature,3,talking,55:17.4,2021-02-11T01:55:17.151Z
12,4852,1024.6,2021-02-11T01:55:17.441Z,pressure,3,talking,55:17.4,2021-02-11T01:55:17.151Z
13,4754,32.03,2021-02-11T01:55:17.465Z,temperature,3,talking,55:17.5,2021-02-11T01:55:17.151Z
14,4851,1024.63,2021-02-11T01:55:17.482Z,pressure,3,talking,55:17.5,2021-02-11T01:55:17.151Z
15,4753,32.03,2021-02-11T01:55:17.520Z,temperature,3,talking,55:17.5,2021-02-11T01:55:17.151Z
16,4850,1024.62,2021-02-11T01:55:17.523Z,pressure,3,talking,55:17.5,2021-02-11T01:55:17.151Z
17,4849,1024.64,2021-02-11T01:55:17.565Z,pressure,3,talking,55:17.6,2021-02-11T01:55:17.151Z
18,4752,32.09,2021-02-11T01:55:17.575Z,temperature,3,talking,55:17.6,2021-02-11T01:55:17.151Z
19,4848,1024.66,2021-02-11T01:55:17.606Z,pressure,3,talking,55:17.6,2021-02-11T01:55:17.151Z
20,4751,32.09,2021-02-11T01:55:17.630Z,temperature,3,talking,55:17.6,2021-02-11T01:55:17.151Z
21,4847,1024.69,2021-02-11T01:55:17.647Z,pressure,3,talking,55:17.6,2021-02-11T01:55:17.151Z
22,4750,32.13,2021-02-11T01:55:17.685Z,temperature,3,talking,55:17.7,2021-02-11T01:55:17.151Z
23,4846,1024.74,2021-02-11T01:55:17.688Z,pressure,3,talking,55:17.7,2021-02-11T01:55:17.151Z
24,4845,1024.79,2021-02-11T01:55:17.730Z,pressure,3,talking,55:17.7,2021-02-11T01:55:17.151Z
25,4749,32.18,2021-02-11T01:55:17.740Z,temperature,3,talking,55:17.7,2021-02-11T01:55:17.151Z
26,4844,1024.9,2021-02-11T01:55:17.771Z,pressure,3,talking,55:17.8,2021-02-11T01:55:17.151Z
27,4748,32.15,2021-02-11T01:55:17.795Z,temperature,3,talking,55:17.8,2021-02-11T01:55:17.151Z
28,4843,1024.97,2021-02-11T01:55:17.812Z,pressure,3,talking,55:17.8,2021-02-11T01:55:17.151Z
29,4747,32.26,2021-02-11T01:55:17.850Z,temperature,3,talking,55:17.8,2021-02-11T01:55:17.151Z
30,4842,1025.02,2021-02-11T01:55:17.854Z,pressure,3,talking,55:17.9,2021-02-11T01:55:17.151Z
31,4841,1025.1,2021-02-11T01:55:17.895Z,pressure,3,talking,55:17.9,2021-02-11T01:55:17.151Z
32,4746,32.24,2021-02-11T01:55:17.905Z,temperature,3,talking,55:17.9,2021-02-11T01:55:17.151Z
33,4840,1025.09,2021-02-11T01:55:17.936Z,pressure,3,talking,55:17.9,2021-02-11T01:55:17.151Z
34,4745,32.28,2021-02-11T01:55:17.961Z,temperature,3,talking,55:18.0,2021-02-11T01:55:17.151Z
35,4839,1025.05,2021-02-11T01:55:17.978Z,pressure,3,talking,55:18.0,2021-02-11T01:55:17.151Z
36,4744,32.33,2021-02-11T01:55:18.016Z,temperature,3,talking,55:18.0,2021-02-11T01:55:17.151Z
37,4838,1024.94,2021-02-11T01:55:18.019Z,pressure,3,talking,55:18.0,2021-02-11T01:55:17.151Z
38,4837,1024.96,2021-02-11T01:55:18.060Z,pressure,3,talking,55:18.1,2021-02-11T01:55:17.151Z
39,4743,32.34,2021-02-11T01:55:18.071Z,temperature,3,talking,55:18.1,2021-02-11T01:55:17.151Z
40,4836,1025.02,2021-02-11T01:55:18.101Z,pressure,3,talking,55:18.1,2021-02-11T01:55:17.151Z
41,4742,32.38,2021-02-11T01:55:18.126Z,temperature,3,talking,55:18.1,2021-02-11T01:55:17.151Z
42,4835,1025.13,2021-02-11T01:55:18.143Z,pressure,3,talking,55:18.1,2021-02-11T01:55:17.151Z
43,4741,32.39,2021-02-11T01:55:18.181Z,temperature,3,talking,55:18.2,2021-02-11T01:55:17.151Z
44,4834,1025.21,2021-02-11T01:55:18.184Z,pressure,3,talking,55:18.2,2021-02-11T01:55:17.151Z
45,4833,1025.23,2021-02-11T01:55:18.225Z,pressure,3,talking,55:18.2,2021-02-11T01:55:17.151Z
46,4740,32.43,2021-02-11T01:55:18.236Z,temperature,3,talking,55:18.2,2021-02-11T01:55:17.151Z
47,4832,1025.22,2021-02-11T01:55:18.267Z,pressure,3,talking,55:18.3,2021-02-11T01:55:17.151Z
48,4739,32.46,2021-02-11T01:55:18.291Z,temperature,3,talking,55:18.3,2021-02-11T01:55:17.151Z
49,4831,1025.26,2021-02-11T01:55:18.308Z,pressure,3,talking,55:18.3,2021-02-11T01:55:17.151Z
50,4738,32.47,2021-02-11T01:55:18.346Z,temperature,3,talking,55:18.3,2021-02-11T01:55:17.151Z
51,4830,1025.28,2021-02-11T01:55:18.349Z,pressure,3,talking,55:18.3,2021-02-11T01:55:17.151Z
52,4829,1025.29,2021-02-11T01:55:18.391Z,pressure,3,talking,55:18.4,2021-02-11T01:55:17.151Z
53,4737,32.48,2021-02-11T01:55:18.401Z,temperature,3,talking,55:18.4,2021-02-11T01:55:17.151Z
54,4828,1025.23,2021-02-11T01:55:18.432Z,pressure,3,talking,55:18.4,2021-02-11T01:55:17.151Z
55,4736,32.52,2021-02-11T01:55:18.456Z,temperature,3,talking,55:18.5,2021-02-11T01:55:17.151Z
56,4827,1025.23,2021-02-11T01:55:18.473Z,pressure,3,talking,55:18.5,2021-02-11T01:55:17.151Z
57,4735,32.48,2021-02-11T01:55:18.511Z,temperature,3,talking,55:18.5,2021-02-11T01:55:17.151Z
58,4826,1025.2,2021-02-11T01:55:18.515Z,pressure,3,talking,55:18.5,2021-02-11T01:55:17.151Z
59,4825,1025.18,2021-02-11T01:55:18.556Z,pressure,3,talking,55:18.6,2021-02-11T01:55:17.151Z
60,4734,32.56,2021-02-11T01:55:18.566Z,temperature,3,talking,55:18.6,2021-02-11T01:55:17.151Z
61,4824,1025.19,2021-02-11T01:55:18.597Z,pressure,3,talking,55:18.6,2021-02-11T01:55:17.151Z
62,4733,32.47,2021-02-11T01:55:18.621Z,temperature,3,talking,55:18.6,2021-02-11T01:55:17.151Z
63,4823,1025.2,2021-02-11T01:55:18.638Z,pressure,3,talking,55:18.6,2021-02-11T01:55:17.151Z
64,4732,32.43,2021-02-11T01:55:18.676Z,temperature,3,talking,55:18.7,2021-02-11T01:55:17.151Z
65,4822,1025.18,2021-02-11T01:55:18.680Z,pressure,3,talking,55:18.7,2021-02-11T01:55:17.151Z
66,4821,1025.22,2021-02-11T01:55:18.721Z,pressure,3,talking,55:18.7,2021-02-11T01:55:17.151Z
67,4731,32.3,2021-02-11T01:55:18.731Z,temperature,3,talking,55:18.7,2021-02-11T01:55:17.151Z
68,4820,1025.16,2021-02-11T01:55:18.762Z,pressure,3,talking,55:18.8,2021-02-11T01:55:17.151Z
69,4730,32.22,2021-02-11T01:55:18.787Z,temperature,3,talking,55:18.8,2021-02-11T01:55:17.151Z
70,4819,1025.16,2021-02-11T01:55:18.804Z,pressure,3,talking,55:18.8,2021-02-11T01:55:17.151Z
71,4729,32.17,2021-02-11T01:55:18.842Z,temperature,3,talking,55:18.8,2021-02-11T01:55:17.151Z
72,4818,1025.19,2021-02-11T01:55:18.845Z,pressure,3,talking,55:18.8,2021-02-11T01:55:17.151Z
73,4817,1025.18,2021-02-11T01:55:18.886Z,pressure,3,talking,55:18.9,2021-02-11T01:55:17.151Z
74,4728,32.07,2021-02-11T01:55:18.897Z,temperature,3,talking,55:18.9,2021-02-11T01:55:17.151Z
75,4816,1025.43,2021-02-11T01:55:18.928Z,pressure,3,talking,55:18.9,2021-02-11T01:55:17.151Z
76,4727,32.1,2021-02-11T01:55:18.952Z,temperature,3,talking,55:19.0,2021-02-11T01:55:17.151Z
77,4815,1025.56,2021-02-11T01:55:18.969Z,pressure,3,talking,55:19.0,2021-02-11T01:55:17.151Z
78,4726,32.02,2021-02-11T01:55:19.007Z,temperature,3,talking,55:19.0,2021-02-11T01:55:17.151Z
79,4814,1025.51,2021-02-11T01:55:19.010Z,pressure,3,talking,55:19.0,2021-02-11T01:55:17.151Z
80,4813,1025.45,2021-02-11T01:55:19.051Z,pressure,3,talking,55:19.1,2021-02-11T01:55:17.151Z
81,4725,31.98,2021-02-11T01:55:19.062Z,temperature,3,talking,55:19.1,2021-02-11T01:55:17.151Z
82,4812,1025.44,2021-02-11T01:55:19.093Z,pressure,3,talking,55:19.1,2021-02-11T01:55:17.151Z
83,4724,31.99,2021-02-11T01:55:19.117Z,temperature,3,talking,55:19.1,2021-02-11T01:55:17.151Z
84,4811,1025.42,2021-02-11T01:55:19.134Z,pressure,3,talking,55:19.1,2021-02-11T01:55:17.151Z
85,4723,31.95,2021-02-11T01:55:19.172Z,temperature,3,talking,55:19.2,2021-02-11T01:55:17.151Z
86,4810,1025.45,2021-02-11T01:55:19.175Z,pressure,3,talking,55:19.2,2021-02-11T01:55:17.151Z
87,4809,1025.43,2021-02-11T01:55:19.217Z,pressure,3,talking,55:19.2,2021-02-11T01:55:17.151Z
88,4722,31.95,2021-02-11T01:55:19.227Z,temperature,3,talking,55:19.2,2021-02-11T01:55:17.151Z
89,4808,1025.4,2021-02-11T01:55:19.258Z,pressure,3,talking,55:19.3,2021-02-11T01:55:17.151Z
90,4721,31.94,2021-02-11T01:55:19.282Z,temperature,3,talking,55:19.3,2021-02-11T01:55:17.151Z
91,4807,1025.42,2021-02-11T01:55:19.299Z,pressure,3,talking,55:19.3,2021-02-11T01:55:17.151Z
92,4720,31.88,2021-02-11T01:55:19.337Z,temperature,3,talking,55:19.3,2021-02-11T01:55:17.151Z
93,4806,1025.44,2021-02-11T01:55:19.341Z,pressure,3,talking,55:19.3,2021-02-11T01:55:17.151Z
94,4805,1025.45,2021-02-11T01:55:19.382Z,pressure,3,talking,55:19.4,2021-02-11T01:55:17.151Z
95,4719,31.92,2021-02-11T01:55:19.392Z,temperature,3,talking,55:19.4,2021-02-11T01:55:17.151Z
96,4804,1025.42,2021-02-11T01:55:19.423Z,pressure,3,talking,55:19.4,2021-02-11T01:55:17.151Z
97,4718,31.92,2021-02-11T01:55:19.447Z,temperature,3,talking,55:19.4,2021-02-11T01:55:17.151Z
98,4803,1025.48,2021-02-11T01:55:19.465Z,pressure,3,talking,55:19.5,2021-02-11T01:55:17.151Z
99,4717,31.93,2021-02-11T01:55:19.502Z,temperature,3,talking,55:19.5,2021-02-11T01:55:17.151Z
100,4802,1025.48,2021-02-11T01:55:19.506Z,pressure,3,talking,55:19.5,2021-02-11T01:55:17.151Z
101,4801,1025.44,2021-02-11T01:55:19.547Z,pressure,3,talking,55:19.5,2021-02-11T01:55:17.151Z
102,4716,31.96,2021-02-11T01:55:19.557Z,temperature,3,talking,55:19.6,2021-02-11T01:55:17.151Z
103,4800,1025.43,2021-02-11T01:55:19.588Z,pressure,3,talking,55:19.6,2021-02-11T01:55:17.151Z
104,4715,31.9,2021-02-11T01:55:19.613Z,temperature,3,talking,55:19.6,2021-02-11T01:55:17.151Z
105,4799,1025.34,2021-02-11T01:55:19.630Z,pressure,3,talking,55:19.6,2021-02-11T01:55:17.151Z
106,4714,31.85,2021-02-11T01:55:19.668Z,temperature,3,talking,55:19.7,2021-02-11T01:55:17.151Z
107,4798,1025.34,2021-02-11T01:55:19.671Z,pressure,3,talking,55:19.7,2021-02-11T01:55:17.151Z
108,4797,1025.38,2021-02-11T01:55:19.712Z,pressure,3,talking,55:19.7,2021-02-11T01:55:17.151Z
109,4713,31.88,2021-02-11T01:55:19.723Z,temperature,3,talking,55:19.7,2021-02-11T01:55:17.151Z
110,4796,1025.36,2021-02-11T01:55:19.754Z,pressure,3,talking,55:19.8,2021-02-11T01:55:17.151Z
111,4712,31.86,2021-02-11T01:55:19.778Z,temperature,3,talking,55:19.8,2021-02-11T01:55:17.151Z
112,4795,1025.29,2021-02-11T01:55:19.795Z,pressure,3,talking,55:19.8,2021-02-11T01:55:17.151Z
113,4711,31.87,2021-02-11T01:55:19.833Z,temperature,3,talking,55:19.8,2021-02-11T01:55:17.151Z
114,4794,1025.32,2021-02-11T01:55:19.836Z,pressure,3,talking,55:19.8,2021-02-11T01:55:17.151Z
115,4793,1025.34,2021-02-11T01:55:19.878Z,pressure,3,talking,55:19.9,2021-02-11T01:55:17.151Z
116,4710,31.86,2021-02-11T01:55:19.888Z,temperature,3,talking,55:19.9,2021-02-11T01:55:17.151Z
117,4792,1025.31,2021-02-11T01:55:19.919Z,pressure,3,talking,55:19.9,2021-02-11T01:55:17.151Z
118,4709,31.94,2021-02-11T01:55:19.943Z,temperature,3,talking,55:19.9,2021-02-11T01:55:17.151Z
119,4791,1025.28,2021-02-11T01:55:19.960Z,pressure,3,talking,55:20.0,2021-02-11T01:55:17.151Z
120,4708,31.96,2021-02-11T01:55:19.998Z,temperature,3,talking,55:20.0,2021-02-11T01:55:17.151Z
121,4790,1025.26,2021-02-11T01:55:20.002Z,pressure,3,talking,55:20.0,2021-02-11T01:55:17.151Z
122,4789,1025.23,2021-02-11T01:55:20.043Z,pressure,3,talking,55:20.0,2021-02-11T01:55:17.151Z
123,4707,31.96,2021-02-11T01:55:20.053Z,temperature,3,talking,55:20.1,2021-02-11T01:55:17.151Z
124,4980,1025.26,2021-02-11T01:55:20.093Z,pressure,3,talking,55:20.1,2021-02-11T01:55:17.151Z
125,4706,32,2021-02-11T01:55:20.108Z,temperature,3,talking,55:20.1,2021-02-11T01:55:17.151Z
126,4979,1025.22,2021-02-11T01:55:20.134Z,pressure,3,talking,55:20.1,2021-02-11T01:55:17.151Z
127,4705,32.02,2021-02-11T01:55:20.163Z,temperature,3,talking,55:20.2,2021-02-11T01:55:17.151Z
128,4978,1025.17,2021-02-11T01:55:20.176Z,pressure,3,talking,55:20.2,2021-02-11T01:55:17.151Z
129,4977,1025.13,2021-02-11T01:55:20.217Z,pressure,3,talking,55:20.2,2021-02-11T01:55:17.151Z
130,4704,32.01,2021-02-11T01:55:20.218Z,temperature,3,talking,55:20.2,2021-02-11T01:55:17.151Z
131,4976,1025.1,2021-02-11T01:55:20.258Z,pressure,3,talking,55:20.3,2021-02-11T01:55:17.151Z
132,4703,32.01,2021-02-11T01:55:20.273Z,temperature,3,talking,55:20.3,2021-02-11T01:55:17.151Z
133,4975,1025.15,2021-02-11T01:55:20.300Z,pressure,3,talking,55:20.3,2021-02-11T01:55:17.151Z
134,4702,32.04,2021-02-11T01:55:20.328Z,temperature,3,talking,55:20.3,2021-02-11T01:55:17.151Z
135,4974,1025.11,2021-02-11T01:55:20.341Z,pressure,3,talking,55:20.3,2021-02-11T01:55:17.151Z
136,4973,1025.14,2021-02-11T01:55:20.382Z,pressure,3,talking,55:20.4,2021-02-11T01:55:17.151Z
137,4701,32.07,2021-02-11T01:55:20.383Z,temperature,3,talking,55:20.4,2021-02-11T01:55:17.151Z
138,4972,1025.15,2021-02-11T01:55:20.423Z,pressure,3,talking,55:20.4,2021-02-11T01:55:17.151Z
139,4700,32.07,2021-02-11T01:55:20.439Z,temperature,3,talking,55:20.4,2021-02-11T01:55:17.151Z
140,4971,1025.11,2021-02-11T01:55:20.465Z,pressure,3,talking,55:20.5,2021-02-11T01:55:17.151Z
141,4699,32.1,2021-02-11T01:55:20.494Z,temperature,3,talking,55:20.5,2021-02-11T01:55:17.151Z
142,4970,1025.11,2021-02-11T01:55:20.506Z,pressure,3,talking,55:20.5,2021-02-11T01:55:17.151Z
143,4969,1025.09,2021-02-11T01:55:20.547Z,pressure,3,talking,55:20.5,2021-02-11T01:55:17.151Z
144,4698,32.09,2021-02-11T01:55:20.549Z,temperature,3,talking,55:20.5,2021-02-11T01:55:17.151Z
145,4968,1025.1,2021-02-11T01:55:20.589Z,pressure,3,talking,55:20.6,2021-02-11T01:55:17.151Z
146,4697,32.11,2021-02-11T01:55:20.604Z,temperature,3,talking,55:20.6,2021-02-11T01:55:17.151Z
147,4967,1025.12,2021-02-11T01:55:20.630Z,pressure,3,talking,55:20.6,2021-02-11T01:55:17.151Z
148,4696,32.17,2021-02-11T01:55:20.659Z,temperature,3,talking,55:20.7,2021-02-11T01:55:17.151Z
149,4966,1025.11,2021-02-11T01:55:20.671Z,pressure,3,talking,55:20.7,2021-02-11T01:55:17.151Z
150,4965,1025.08,2021-02-11T01:55:20.713Z,pressure,3,talking,55:20.7,2021-02-11T01:55:17.151Z
151,4695,32.19,2021-02-11T01:55:20.714Z,temperature,3,talking,55:20.7,2021-02-11T01:55:17.151Z
152,4964,1025.01,2021-02-11T01:55:20.754Z,pressure,3,talking,55:20.8,2021-02-11T01:55:17.151Z
153,4694,32.24,2021-02-11T01:55:20.769Z,temperature,3,talking,55:20.8,2021-02-11T01:55:17.151Z
154,4963,1024.97,2021-02-11T01:55:20.795Z,pressure,3,talking,55:20.8,2021-02-11T01:55:17.151Z
155,4693,32.23,2021-02-11T01:55:20.824Z,temperature,3,talking,55:20.8,2021-02-11T01:55:17.151Z
156,4962,1024.93,2021-02-11T01:55:20.837Z,pressure,3,talking,55:20.8,2021-02-11T01:55:17.151Z
157,4961,1024.78,2021-02-11T01:55:20.878Z,pressure,3,talking,55:20.9,2021-02-11T01:55:17.151Z
158,4692,32.31,2021-02-11T01:55:20.879Z,temperature,3,talking,55:20.9,2021-02-11T01:55:17.151Z
159,4960,1024.68,2021-02-11T01:55:20.919Z,pressure,3,talking,55:20.9,2021-02-11T01:55:17.151Z
160,4691,32.31,2021-02-11T01:55:20.934Z,temperature,3,talking,55:20.9,2021-02-11T01:55:17.151Z
161,4959,1024.59,2021-02-11T01:55:20.960Z,pressure,3,talking,55:21.0,2021-02-11T01:55:17.151Z
