,id,value,date,type,event_id,event_type,frequency,datetime
0,92060,1005.89,2021-02-10T20:53:30.012Z,pressure,10,cough,25.48,2021-02-10 20:53:30.012
1,91925,26.22,2021-02-10T20:53:30.025Z,temperature,10,cough,18.15,2021-02-10 20:53:30.025
2,92059,1005.91,2021-02-10T20:53:30.051Z,pressure,10,cough,25.48,2021-02-10 20:53:30.051
3,91924,26.23,2021-02-10T20:53:30.080Z,temperature,10,cough,18.15,2021-02-10 20:53:30.080
4,92058,1005.89,2021-02-10T20:53:30.091Z,pressure,10,cough,25.48,2021-02-10 20:53:30.091
5,92057,1005.85,2021-02-10T20:53:30.130Z,pressure,10,cough,25.48,2021-02-10 20:53:30.130
6,91923,26.21,2021-02-10T20:53:30.136Z,temperature,10,cough,18.15,2021-02-10 20:53:30.136
7,92056,1005.91,2021-02-10T20:53:30.169Z,pressure,10,cough,25.48,2021-02-10 20:53:30.169
8,91922,26.21,2021-02-10T20:53:30.191Z,temperature,10,cough,18.15,2021-02-10 20:53:30.191
9,92055,1005.87,2021-02-10T20:53:30.208Z,pressure,10,cough,25.48,2021-02-10 20:53:30.208
10,91921,26.22,2021-02-10T20:53:30.246Z,temperature,10,cough,18.15,2021-02-10 20:53:30.246
11,92054,1005.85,2021-02-10T20:53:30.248Z,pressure,10,cough,25.48,2021-02-10 20:53:30.248
12,92053,1005.81,2021-02-10T20:53:30.287Z,pressure,10,cough,25.48,2021-02-10 20:53:30.287
13,91920,26.24,2021-02-10T20:53:30.301Z,temperature,10,cough,18.15,2021-02-10 20:53:30.301
14,92052,1005.73,2021-02-10T20:53:30.326Z,pressure,10,cough,25.48,2021-02-10 20:53:30.326
15,91919,26.26,2021-02-10T20:53:30.356Z,temperature,10,cough,18.15,2021-02-10 20:53:30.356
16,92051,1005.71,2021-02-10T20:53:30.365Z,pressure,10,cough,25.48,2021-02-10 20:53:30.365
17,92050,1005.7,2021-02-10T20:53:30.405Z,pressure,10,cough,25.48,2021-02-10 20:53:30.405
18,91918,26.26,2021-02-10T20:53:30.411Z,temperature,10,cough,18.15,2021-02-10 20:53:30.411
19,92049,1005.69,2021-02-10T20:53:30.444Z,pressure,10,cough,25.48,2021-02-10 20:53:30.444
20,91917,26.28,2021-02-10T20:53:30.466Z,temperature,10,cough,18.15,2021-02-10 20:53:30.466
21,92048,1005.7,2021-02-10T20:53:30.483Z,pressure,10,cough,25.48,2021-02-10 20:53:30.483
22,91916,26.31,2021-02-10T20:53:30.521Z,temperature,10,cough,18.15,2021-02-10 20:53:30.521
23,92047,1005.75,2021-02-10T20:53:30.522Z,pressure,10,cough,25.48,2021-02-10 20:53:30.522
24,92046,1005.71,2021-02-10T20:53:30.562Z,pressure,10,cough,25.48,2021-02-10 20:53:30.562
25,91915,26.32,2021-02-10T20:53:30.576Z,temperature,10,cough,18.15,2021-02-10 20:53:30.576
26,92045,1005.64,2021-02-10T20:53:30.601Z,pressure,10,cough,25.48,2021-02-10 20:53:30.601
27,91914,26.35,2021-02-10T20:53:30.631Z,temperature,10,cough,18.15,2021-02-10 20:53:30.631
28,92044,1005.66,2021-02-10T20:53:30.640Z,pressure,10,cough,25.48,2021-02-10 20:53:30.640
29,92043,1005.65,2021-02-10T20:53:30.679Z,pressure,10,cough,25.48,2021-02-10 20:53:30.679
30,91913,26.33,2021-02-10T20:53:30.687Z,temperature,10,cough,18.15,2021-02-10 20:53:30.687
31,92042,1005.55,2021-02-10T20:53:30.719Z,pressure,10,cough,25.48,2021-02-10 20:53:30.719
