,id,value,date,type,event_id,event_type,datetime
0,27448,1006.73,2021-02-09T18:34:47.529Z,pressure,8,cough,2021-02-09 18:34:47.529
1,27599,25.49,2021-02-09T18:34:47.547Z,temperature,8,cough,2021-02-09 18:34:47.547
2,27447,1006.72,2021-02-09T18:34:47.568Z,pressure,8,cough,2021-02-09 18:34:47.568
3,27598,25.5,2021-02-09T18:34:47.603Z,temperature,8,cough,2021-02-09 18:34:47.603
4,27446,1006.71,2021-02-09T18:34:47.607Z,pressure,8,cough,2021-02-09 18:34:47.607
5,27445,1006.72,2021-02-09T18:34:47.647Z,pressure,8,cough,2021-02-09 18:34:47.647
6,27597,25.51,2021-02-09T18:34:47.658Z,temperature,8,cough,2021-02-09 18:34:47.658
7,27444,1006.75,2021-02-09T18:34:47.686Z,pressure,8,cough,2021-02-09 18:34:47.686
8,27596,25.48,2021-02-09T18:34:47.713Z,temperature,8,cough,2021-02-09 18:34:47.713
9,27443,1006.73,2021-02-09T18:34:47.725Z,pressure,8,cough,2021-02-09 18:34:47.725
10,27442,1006.68,2021-02-09T18:34:47.764Z,pressure,8,cough,2021-02-09 18:34:47.764
11,27595,25.44,2021-02-09T18:34:47.768Z,temperature,8,cough,2021-02-09 18:34:47.768
12,27441,1006.68,2021-02-09T18:34:47.804Z,pressure,8,cough,2021-02-09 18:34:47.804
13,27594,25.49,2021-02-09T18:34:47.823Z,temperature,8,cough,2021-02-09 18:34:47.823
14,27732,1006.73,2021-02-09T18:34:47.835Z,pressure,8,cough,2021-02-09 18:34:47.835
15,27731,1006.71,2021-02-09T18:34:47.874Z,pressure,8,cough,2021-02-09 18:34:47.874
16,27593,25.47,2021-02-09T18:34:47.878Z,temperature,8,cough,2021-02-09 18:34:47.878
17,27730,1006.71,2021-02-09T18:34:47.913Z,pressure,8,cough,2021-02-09 18:34:47.913
18,27592,25.47,2021-02-09T18:34:47.933Z,temperature,8,cough,2021-02-09 18:34:47.933
19,27729,1006.69,2021-02-09T18:34:47.953Z,pressure,8,cough,2021-02-09 18:34:47.953
20,27591,25.52,2021-02-09T18:34:47.988Z,temperature,8,cough,2021-02-09 18:34:47.988
21,27728,1006.74,2021-02-09T18:34:47.992Z,pressure,8,cough,2021-02-09 18:34:47.992
22,27727,1006.71,2021-02-09T18:34:48.031Z,pressure,8,cough,2021-02-09 18:34:48.031
23,27590,25.48,2021-02-09T18:34:48.043Z,temperature,8,cough,2021-02-09 18:34:48.043
24,27726,1006.71,2021-02-09T18:34:48.071Z,pressure,8,cough,2021-02-09 18:34:48.071
25,27589,25.49,2021-02-09T18:34:48.098Z,temperature,8,cough,2021-02-09 18:34:48.098
26,27725,1006.72,2021-02-09T18:34:48.110Z,pressure,8,cough,2021-02-09 18:34:48.110
