,id,value,date,type,event_id,event_type,frequency,datetime
0,62667,1006.73,2021-02-10T18:27:50.103Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.103
1,62568,24.34,2021-02-10T18:27:50.110Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.110
2,62666,1006.72,2021-02-10T18:27:50.142Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.142
3,62567,24.34,2021-02-10T18:27:50.165Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.165
4,62665,1006.7,2021-02-10T18:27:50.182Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.182
5,62566,24.34,2021-02-10T18:27:50.220Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.220
6,62664,1006.72,2021-02-10T18:27:50.221Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.221
7,62663,1006.73,2021-02-10T18:27:50.260Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.260
8,62565,24.34,2021-02-10T18:27:50.275Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.275
9,62662,1006.75,2021-02-10T18:27:50.300Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.300
10,62564,24.33,2021-02-10T18:27:50.330Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.330
11,62661,1006.7,2021-02-10T18:27:50.339Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.339
12,62660,1006.7,2021-02-10T18:27:50.378Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.378
13,62563,24.33,2021-02-10T18:27:50.385Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.385
14,62659,1006.7,2021-02-10T18:27:50.417Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.417
15,62562,24.35,2021-02-10T18:27:50.440Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.440
16,62658,1006.68,2021-02-10T18:27:50.457Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.457
17,62561,24.34,2021-02-10T18:27:50.495Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.495
18,62657,1006.71,2021-02-10T18:27:50.496Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.496
19,62656,1006.7,2021-02-10T18:27:50.535Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.535
20,62560,24.34,2021-02-10T18:27:50.550Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.550
21,62655,1006.7,2021-02-10T18:27:50.575Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.575
22,62559,24.33,2021-02-10T18:27:50.605Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.605
23,62654,1006.68,2021-02-10T18:27:50.614Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.614
24,62653,1006.72,2021-02-10T18:27:50.653Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.653
25,62558,24.32,2021-02-10T18:27:50.660Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.660
26,62652,1006.72,2021-02-10T18:27:50.693Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.693
27,62557,24.33,2021-02-10T18:27:50.715Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.715
28,62651,1006.7,2021-02-10T18:27:50.732Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.732
29,62556,24.31,2021-02-10T18:27:50.770Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.770
30,62650,1006.7,2021-02-10T18:27:50.771Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.771
31,62649,1006.69,2021-02-10T18:27:50.811Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.811
32,62555,24.34,2021-02-10T18:27:50.826Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.826
33,62648,1006.73,2021-02-10T18:27:50.850Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.850
34,62554,24.38,2021-02-10T18:27:50.881Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.881
35,62647,1006.72,2021-02-10T18:27:50.889Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.889
36,62646,1006.74,2021-02-10T18:27:50.928Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.928
37,62553,24.32,2021-02-10T18:27:50.936Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.936
38,62645,1006.71,2021-02-10T18:27:50.968Z,pressure,8,mask_off,25.44,2021-02-10 18:27:50.968
39,62552,24.3,2021-02-10T18:27:50.991Z,temperature,8,mask_off,18.17,2021-02-10 18:27:50.991
40,62644,1006.69,2021-02-10T18:27:51.007Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.007
41,62551,24.31,2021-02-10T18:27:51.046Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.046
42,62643,1006.69,2021-02-10T18:27:51.046Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.046
43,62642,1006.71,2021-02-10T18:27:51.086Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.086
44,62550,24.29,2021-02-10T18:27:51.101Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.101
45,62641,1006.7,2021-02-10T18:27:51.125Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.125
46,62549,24.36,2021-02-10T18:27:51.156Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.156
47,62640,1006.71,2021-02-10T18:27:51.164Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.164
48,62639,1006.71,2021-02-10T18:27:51.204Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.204
49,62548,24.33,2021-02-10T18:27:51.211Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.211
50,62638,1006.7,2021-02-10T18:27:51.243Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.243
51,62547,24.33,2021-02-10T18:27:51.266Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.266
52,62637,1006.71,2021-02-10T18:27:51.282Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.282
53,62546,24.34,2021-02-10T18:27:51.321Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.321
54,62636,1006.69,2021-02-10T18:27:51.322Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.322
55,62635,1006.71,2021-02-10T18:27:51.361Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.361
56,62545,24.35,2021-02-10T18:27:51.376Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.376
57,62634,1006.72,2021-02-10T18:27:51.400Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.400
58,62544,24.34,2021-02-10T18:27:51.431Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.431
59,62633,1006.7,2021-02-10T18:27:51.439Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.439
60,62632,1006.72,2021-02-10T18:27:51.479Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.479
61,62543,24.32,2021-02-10T18:27:51.486Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.486
62,62631,1006.73,2021-02-10T18:27:51.518Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.518
63,62542,24.36,2021-02-10T18:27:51.541Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.541
64,62630,1006.71,2021-02-10T18:27:51.557Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.557
65,62541,24.32,2021-02-10T18:27:51.596Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.596
66,62629,1006.72,2021-02-10T18:27:51.597Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.597
67,62628,1006.71,2021-02-10T18:27:51.636Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.636
68,62540,24.3,2021-02-10T18:27:51.651Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.651
69,62627,1006.7,2021-02-10T18:27:51.675Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.675
70,62539,24.33,2021-02-10T18:27:51.706Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.706
71,62626,1006.7,2021-02-10T18:27:51.715Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.715
72,62625,1006.72,2021-02-10T18:27:51.754Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.754
73,62538,24.33,2021-02-10T18:27:51.761Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.761
74,62624,1006.71,2021-02-10T18:27:51.793Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.793
75,62537,24.3,2021-02-10T18:27:51.816Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.816
76,62623,1006.71,2021-02-10T18:27:51.833Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.833
77,62536,24.3,2021-02-10T18:27:51.871Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.871
78,62622,1006.7,2021-02-10T18:27:51.872Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.872
79,62621,1006.67,2021-02-10T18:27:51.911Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.911
80,62535,24.33,2021-02-10T18:27:51.926Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.926
81,62620,1006.7,2021-02-10T18:27:51.950Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.950
82,62534,24.31,2021-02-10T18:27:51.981Z,temperature,8,mask_off,18.17,2021-02-10 18:27:51.981
83,62619,1006.69,2021-02-10T18:27:51.990Z,pressure,8,mask_off,25.44,2021-02-10 18:27:51.990
84,62618,1006.72,2021-02-10T18:27:52.029Z,pressure,8,mask_off,25.44,2021-02-10 18:27:52.029
85,62533,24.33,2021-02-10T18:27:52.036Z,temperature,8,mask_off,18.17,2021-02-10 18:27:52.036
86,62617,1006.73,2021-02-10T18:27:52.068Z,pressure,8,mask_off,25.44,2021-02-10 18:27:52.068
87,62532,24.3,2021-02-10T18:27:52.091Z,temperature,8,mask_off,18.17,2021-02-10 18:27:52.091
88,62616,1006.7,2021-02-10T18:27:52.108Z,pressure,8,mask_off,25.44,2021-02-10 18:27:52.108
89,62531,24.32,2021-02-10T18:27:52.146Z,temperature,8,mask_off,18.17,2021-02-10 18:27:52.146
90,62615,1006.7,2021-02-10T18:27:52.147Z,pressure,8,mask_off,25.44,2021-02-10 18:27:52.147
91,62614,1006.68,2021-02-10T18:27:52.186Z,pressure,8,mask_off,25.44,2021-02-10 18:27:52.186
92,62530,24.31,2021-02-10T18:27:52.201Z,temperature,8,mask_off,18.17,2021-02-10 18:27:52.201
93,62613,1006.75,2021-02-10T18:27:52.226Z,pressure,8,mask_off,25.44,2021-02-10 18:27:52.226
94,62529,24.29,2021-02-10T18:27:52.256Z,temperature,8,mask_off,18.17,2021-02-10 18:27:52.256
95,62612,1006.72,2021-02-10T18:27:52.265Z,pressure,8,mask_off,25.44,2021-02-10 18:27:52.265
96,62611,1006.69,2021-02-10T18:27:52.304Z,pressure,8,mask_off,25.44,2021-02-10 18:27:52.304
97,62528,24.34,2021-02-10T18:27:52.311Z,temperature,8,mask_off,18.17,2021-02-10 18:27:52.311
98,62610,1006.7,2021-02-10T18:27:52.344Z,pressure,8,mask_off,25.44,2021-02-10 18:27:52.344
