,id,value,date,type,event_id,event_type,frequency,datetime
0,202,1007.86,2021-02-10T15:11:17.770Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.770
1,349,26.92,2021-02-10T15:11:17.805Z,temperature,1,normal_breathing,18.18,2021-02-10 15:11:17.805
2,201,1007.86,2021-02-10T15:11:17.809Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.809
3,200,1007.9,2021-02-10T15:11:17.848Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.848
4,348,26.84,2021-02-10T15:11:17.860Z,temperature,1,normal_breathing,18.18,2021-02-10 15:11:17.860
5,199,1007.86,2021-02-10T15:11:17.887Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.887
6,347,26.75,2021-02-10T15:11:17.915Z,temperature,1,normal_breathing,18.18,2021-02-10 15:11:17.915
7,198,1007.88,2021-02-10T15:11:17.927Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.927
8,197,1007.89,2021-02-10T15:11:17.966Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:17.966
9,346,26.69,2021-02-10T15:11:17.970Z,temperature,1,normal_breathing,18.18,2021-02-10 15:11:17.970
10,488,1007.87,2021-02-10T15:11:18.000Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:18.000
11,345,26.69,2021-02-10T15:11:18.025Z,temperature,1,normal_breathing,18.18,2021-02-10 15:11:18.025
12,487,1007.88,2021-02-10T15:11:18.039Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:18.039
13,486,1007.85,2021-02-10T15:11:18.079Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:18.079
14,344,26.61,2021-02-10T15:11:18.080Z,temperature,1,normal_breathing,18.18,2021-02-10 15:11:18.080
15,485,1007.86,2021-02-10T15:11:18.118Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:18.118
16,343,26.58,2021-02-10T15:11:18.135Z,temperature,1,normal_breathing,18.18,2021-02-10 15:11:18.135
17,484,1007.84,2021-02-10T15:11:18.157Z,pressure,1,normal_breathing,25.44,2021-02-10 15:11:18.157
