Time,Arb
'-0:0:0.0,778
'0:0:0.05,769
'0:0:0.1,763
'0:0:0.15,754
'0:0:0.2,736
'0:0:0.25,723
'0:0:0.3,714
'0:0:0.35,710
'0:0:0.4,708
'0:0:0.45,707
'0:0:0.5,703
'0:0:0.55,699
'0:0:0.6,695
'0:0:0.65,693
'0:0:0.7,690
'0:0:0.75,689
'0:0:0.8,687
'0:0:0.85,684
'0:0:0.9,683
'0:0:0.95,682
'0:0:1.0,680
'0:0:1.05,679
'0:0:1.1,678
'0:0:1.15,672
'0:0:1.2,668
'0:0:1.25,673
'0:0:1.3,683
'0:0:1.35,695
'0:0:1.4,710
'0:0:1.45,725
'0:0:1.5,743
'0:0:1.55,761
'0:0:1.6,781
'0:0:1.65,798
'0:0:1.7,815
'0:0:1.75,828
'0:0:1.8,841
'0:0:1.85,851
'0:0:1.9,864
'0:0:1.95,876
'0:0:2.0,887
'0:0:2.05,898
'0:0:2.1,910
'0:0:2.15,915
'0:0:2.2,909
'0:0:2.25,902
'0:0:2.3,901
'0:0:2.35,909
'0:0:2.4,921
'0:0:2.45,926
'0:0:2.5,927
'0:0:2.55,927
'0:0:2.6,930
'0:0:2.65,935
'0:0:2.7,940
'0:0:2.75,947
'0:0:2.8,957
'0:0:2.85,967
'0:0:2.9,978
'0:0:2.95,987
'0:0:3.0,996
'0:0:3.05,1002
'0:0:3.1,1006
'0:0:3.15,1011
'0:0:3.2,1009
'0:0:3.25,1000
'0:0:3.3,994
'0:0:3.35,995
'0:0:3.4,1001
'0:0:3.45,1010
'0:0:3.5,1014
'0:0:3.55,1015
'0:0:3.6,1015
'0:0:3.65,1007
'0:0:3.7,994
'0:0:3.75,979
'0:0:3.8,964
'0:0:3.85,950
'0:0:3.9,936
'0:0:3.95,924
'0:0:4.0,911
'0:0:4.05,899
'0:0:4.1,884
'0:0:4.15,872
'0:0:4.2,860
'0:0:4.25,844
'0:0:4.3,819
'0:0:4.35,801
'0:0:4.4,788
'0:0:4.45,781
'0:0:4.5,778
'0:0:4.55,776
'0:0:4.6,776
'0:0:4.65,774
'0:0:4.7,767
'0:0:4.75,760
'0:0:4.8,752
'0:0:4.85,747
'0:0:4.9,741
'0:0:4.95,736
'0:0:5.0,730
'0:0:5.05,725
'0:0:5.1,720
'0:0:5.15,716
'0:0:5.2,710
'0:0:5.25,704
'0:0:5.3,700
'0:0:5.35,691
'0:0:5.4,677
'0:0:5.45,668
'0:0:5.5,664
'0:0:5.55,665
'0:0:5.6,667
'0:0:5.65,666
'0:0:5.7,664
'0:0:5.75,661
'0:0:5.8,657
'0:0:5.85,654
'0:0:5.9,652
'0:0:5.95,650
'0:0:6.0,649
