,id,value,date,type,event_id,event_type,frequency,datetime
0,77149,1006.64,2021-02-10T18:34:38.821Z,pressure,9,talking,25.48,2021-02-10 18:34:38.821
1,77291,27.09,2021-02-10T18:34:38.832Z,temperature,9,talking,18.12,2021-02-10 18:34:38.832
2,77148,1006.64,2021-02-10T18:34:38.860Z,pressure,9,talking,25.48,2021-02-10 18:34:38.860
3,77290,27.12,2021-02-10T18:34:38.887Z,temperature,9,talking,18.12,2021-02-10 18:34:38.887
4,77147,1006.73,2021-02-10T18:34:38.899Z,pressure,9,talking,25.48,2021-02-10 18:34:38.899
5,77146,1006.77,2021-02-10T18:34:38.939Z,pressure,9,talking,25.48,2021-02-10 18:34:38.939
6,77289,27.12,2021-02-10T18:34:38.942Z,temperature,9,talking,18.12,2021-02-10 18:34:38.942
7,77145,1006.98,2021-02-10T18:34:38.978Z,pressure,9,talking,25.48,2021-02-10 18:34:38.978
8,77288,27.14,2021-02-10T18:34:38.998Z,temperature,9,talking,18.12,2021-02-10 18:34:38.998
9,77144,1006.98,2021-02-10T18:34:39.017Z,pressure,9,talking,25.48,2021-02-10 18:34:39.017
10,77287,27.2,2021-02-10T18:34:39.053Z,temperature,9,talking,18.12,2021-02-10 18:34:39.053
11,77143,1006.96,2021-02-10T18:34:39.056Z,pressure,9,talking,25.48,2021-02-10 18:34:39.056
12,77142,1006.95,2021-02-10T18:34:39.096Z,pressure,9,talking,25.48,2021-02-10 18:34:39.096
13,77286,27.23,2021-02-10T18:34:39.108Z,temperature,9,talking,18.12,2021-02-10 18:34:39.108
14,77141,1006.97,2021-02-10T18:34:39.135Z,pressure,9,talking,25.48,2021-02-10 18:34:39.135
15,77285,27.19,2021-02-10T18:34:39.163Z,temperature,9,talking,18.12,2021-02-10 18:34:39.163
16,77140,1006.95,2021-02-10T18:34:39.174Z,pressure,9,talking,25.48,2021-02-10 18:34:39.174
17,77139,1006.96,2021-02-10T18:34:39.213Z,pressure,9,talking,25.48,2021-02-10 18:34:39.213
18,77284,27.23,2021-02-10T18:34:39.218Z,temperature,9,talking,18.12,2021-02-10 18:34:39.218
19,77138,1006.94,2021-02-10T18:34:39.253Z,pressure,9,talking,25.48,2021-02-10 18:34:39.253
20,77283,27.27,2021-02-10T18:34:39.273Z,temperature,9,talking,18.12,2021-02-10 18:34:39.273
21,77137,1006.87,2021-02-10T18:34:39.292Z,pressure,9,talking,25.48,2021-02-10 18:34:39.292
22,77282,27.24,2021-02-10T18:34:39.329Z,temperature,9,talking,18.12,2021-02-10 18:34:39.329
23,77136,1006.91,2021-02-10T18:34:39.331Z,pressure,9,talking,25.48,2021-02-10 18:34:39.331
24,77135,1006.83,2021-02-10T18:34:39.370Z,pressure,9,talking,25.48,2021-02-10 18:34:39.370
25,77281,27.32,2021-02-10T18:34:39.384Z,temperature,9,talking,18.12,2021-02-10 18:34:39.384
26,77134,1006.83,2021-02-10T18:34:39.410Z,pressure,9,talking,25.48,2021-02-10 18:34:39.410
27,77280,27.32,2021-02-10T18:34:39.439Z,temperature,9,talking,18.12,2021-02-10 18:34:39.439
28,77133,1006.83,2021-02-10T18:34:39.449Z,pressure,9,talking,25.48,2021-02-10 18:34:39.449
29,77132,1006.79,2021-02-10T18:34:39.488Z,pressure,9,talking,25.48,2021-02-10 18:34:39.488
30,77279,27.34,2021-02-10T18:34:39.494Z,temperature,9,talking,18.12,2021-02-10 18:34:39.494
31,77131,1006.79,2021-02-10T18:34:39.527Z,pressure,9,talking,25.48,2021-02-10 18:34:39.527
32,77278,27.3,2021-02-10T18:34:39.549Z,temperature,9,talking,18.12,2021-02-10 18:34:39.549
33,77130,1006.77,2021-02-10T18:34:39.567Z,pressure,9,talking,25.48,2021-02-10 18:34:39.567
34,77277,27.32,2021-02-10T18:34:39.605Z,temperature,9,talking,18.12,2021-02-10 18:34:39.605
35,77129,1006.72,2021-02-10T18:34:39.606Z,pressure,9,talking,25.48,2021-02-10 18:34:39.606
36,77128,1006.69,2021-02-10T18:34:39.645Z,pressure,9,talking,25.48,2021-02-10 18:34:39.645
37,77276,27.31,2021-02-10T18:34:39.660Z,temperature,9,talking,18.12,2021-02-10 18:34:39.660
38,77127,1006.74,2021-02-10T18:34:39.684Z,pressure,9,talking,25.48,2021-02-10 18:34:39.684
39,77275,27.35,2021-02-10T18:34:39.715Z,temperature,9,talking,18.12,2021-02-10 18:34:39.715
40,77126,1006.74,2021-02-10T18:34:39.724Z,pressure,9,talking,25.48,2021-02-10 18:34:39.724
41,77125,1006.7,2021-02-10T18:34:39.763Z,pressure,9,talking,25.48,2021-02-10 18:34:39.763
42,77274,27.32,2021-02-10T18:34:39.770Z,temperature,9,talking,18.12,2021-02-10 18:34:39.770
43,77416,1006.7,2021-02-10T18:34:39.802Z,pressure,9,talking,25.48,2021-02-10 18:34:39.802
44,77273,27.32,2021-02-10T18:34:39.825Z,temperature,9,talking,18.12,2021-02-10 18:34:39.825
45,77415,1006.75,2021-02-10T18:34:39.841Z,pressure,9,talking,25.48,2021-02-10 18:34:39.841
46,77414,1006.73,2021-02-10T18:34:39.880Z,pressure,9,talking,25.48,2021-02-10 18:34:39.880
47,77272,27.31,2021-02-10T18:34:39.881Z,temperature,9,talking,18.12,2021-02-10 18:34:39.881
48,77413,1006.73,2021-02-10T18:34:39.919Z,pressure,9,talking,25.48,2021-02-10 18:34:39.919
49,77271,27.34,2021-02-10T18:34:39.936Z,temperature,9,talking,18.12,2021-02-10 18:34:39.936
50,77412,1006.76,2021-02-10T18:34:39.959Z,pressure,9,talking,25.48,2021-02-10 18:34:39.959
51,77270,27.28,2021-02-10T18:34:39.991Z,temperature,9,talking,18.12,2021-02-10 18:34:39.991
52,77411,1006.76,2021-02-10T18:34:39.998Z,pressure,9,talking,25.48,2021-02-10 18:34:39.998
53,77410,1006.78,2021-02-10T18:34:40.037Z,pressure,9,talking,25.48,2021-02-10 18:34:40.037
54,77269,27.32,2021-02-10T18:34:40.046Z,temperature,9,talking,18.12,2021-02-10 18:34:40.046
55,77409,1006.81,2021-02-10T18:34:40.076Z,pressure,9,talking,25.48,2021-02-10 18:34:40.076
56,77268,27.27,2021-02-10T18:34:40.101Z,temperature,9,talking,18.12,2021-02-10 18:34:40.101
57,77408,1006.81,2021-02-10T18:34:40.116Z,pressure,9,talking,25.48,2021-02-10 18:34:40.116
58,77407,1006.83,2021-02-10T18:34:40.155Z,pressure,9,talking,25.48,2021-02-10 18:34:40.155
59,77267,27.31,2021-02-10T18:34:40.156Z,temperature,9,talking,18.12,2021-02-10 18:34:40.156
60,77406,1006.83,2021-02-10T18:34:40.194Z,pressure,9,talking,25.48,2021-02-10 18:34:40.194
61,77266,27.27,2021-02-10T18:34:40.212Z,temperature,9,talking,18.12,2021-02-10 18:34:40.212
62,77405,1006.79,2021-02-10T18:34:40.233Z,pressure,9,talking,25.48,2021-02-10 18:34:40.233
63,77265,27.29,2021-02-10T18:34:40.267Z,temperature,9,talking,18.12,2021-02-10 18:34:40.267
64,77404,1006.77,2021-02-10T18:34:40.273Z,pressure,9,talking,25.48,2021-02-10 18:34:40.273
65,77403,1006.81,2021-02-10T18:34:40.312Z,pressure,9,talking,25.48,2021-02-10 18:34:40.312
66,77264,27.28,2021-02-10T18:34:40.322Z,temperature,9,talking,18.12,2021-02-10 18:34:40.322
67,77402,1006.76,2021-02-10T18:34:40.351Z,pressure,9,talking,25.48,2021-02-10 18:34:40.351
68,77263,27.38,2021-02-10T18:34:40.377Z,temperature,9,talking,18.12,2021-02-10 18:34:40.377
69,77401,1006.77,2021-02-10T18:34:40.390Z,pressure,9,talking,25.48,2021-02-10 18:34:40.390
70,77400,1006.79,2021-02-10T18:34:40.430Z,pressure,9,talking,25.48,2021-02-10 18:34:40.430
71,77262,27.41,2021-02-10T18:34:40.432Z,temperature,9,talking,18.12,2021-02-10 18:34:40.432
72,77399,1006.77,2021-02-10T18:34:40.469Z,pressure,9,talking,25.48,2021-02-10 18:34:40.469
73,77261,27.45,2021-02-10T18:34:40.488Z,temperature,9,talking,18.12,2021-02-10 18:34:40.488
74,77398,1006.76,2021-02-10T18:34:40.508Z,pressure,9,talking,25.48,2021-02-10 18:34:40.508
75,77260,27.47,2021-02-10T18:34:40.543Z,temperature,9,talking,18.12,2021-02-10 18:34:40.543
76,77397,1006.76,2021-02-10T18:34:40.547Z,pressure,9,talking,25.48,2021-02-10 18:34:40.547
77,77396,1006.76,2021-02-10T18:34:40.587Z,pressure,9,talking,25.48,2021-02-10 18:34:40.587
78,77259,27.47,2021-02-10T18:34:40.598Z,temperature,9,talking,18.12,2021-02-10 18:34:40.598
79,77395,1006.76,2021-02-10T18:34:40.626Z,pressure,9,talking,25.48,2021-02-10 18:34:40.626
80,77258,27.52,2021-02-10T18:34:40.653Z,temperature,9,talking,18.12,2021-02-10 18:34:40.653
81,77394,1006.77,2021-02-10T18:34:40.665Z,pressure,9,talking,25.48,2021-02-10 18:34:40.665
82,77393,1006.76,2021-02-10T18:34:40.704Z,pressure,9,talking,25.48,2021-02-10 18:34:40.704
83,77257,27.57,2021-02-10T18:34:40.708Z,temperature,9,talking,18.12,2021-02-10 18:34:40.708
84,77392,1006.77,2021-02-10T18:34:40.744Z,pressure,9,talking,25.48,2021-02-10 18:34:40.744
85,77256,27.55,2021-02-10T18:34:40.764Z,temperature,9,talking,18.12,2021-02-10 18:34:40.764
86,77391,1006.7,2021-02-10T18:34:40.783Z,pressure,9,talking,25.48,2021-02-10 18:34:40.783
87,77255,27.58,2021-02-10T18:34:40.819Z,temperature,9,talking,18.12,2021-02-10 18:34:40.819
88,77390,1006.71,2021-02-10T18:34:40.822Z,pressure,9,talking,25.48,2021-02-10 18:34:40.822
89,77389,1006.71,2021-02-10T18:34:40.861Z,pressure,9,talking,25.48,2021-02-10 18:34:40.861
90,77254,27.65,2021-02-10T18:34:40.874Z,temperature,9,talking,18.12,2021-02-10 18:34:40.874
91,77388,1006.73,2021-02-10T18:34:40.901Z,pressure,9,talking,25.48,2021-02-10 18:34:40.901
92,77253,27.68,2021-02-10T18:34:40.929Z,temperature,9,talking,18.12,2021-02-10 18:34:40.929
93,77387,1006.79,2021-02-10T18:34:40.940Z,pressure,9,talking,25.48,2021-02-10 18:34:40.940
94,77386,1006.74,2021-02-10T18:34:40.979Z,pressure,9,talking,25.48,2021-02-10 18:34:40.979
95,77252,27.72,2021-02-10T18:34:40.984Z,temperature,9,talking,18.12,2021-02-10 18:34:40.984
96,77385,1006.72,2021-02-10T18:34:41.018Z,pressure,9,talking,25.48,2021-02-10 18:34:41.018
97,77251,27.78,2021-02-10T18:34:41.039Z,temperature,9,talking,18.12,2021-02-10 18:34:41.039
98,77384,1006.78,2021-02-10T18:34:41.058Z,pressure,9,talking,25.48,2021-02-10 18:34:41.058
99,77250,27.83,2021-02-10T18:34:41.095Z,temperature,9,talking,18.12,2021-02-10 18:34:41.095
100,77383,1006.76,2021-02-10T18:34:41.097Z,pressure,9,talking,25.48,2021-02-10 18:34:41.097
101,77382,1006.76,2021-02-10T18:34:41.136Z,pressure,9,talking,25.48,2021-02-10 18:34:41.136
102,77249,27.85,2021-02-10T18:34:41.150Z,temperature,9,talking,18.12,2021-02-10 18:34:41.150
103,77381,1006.75,2021-02-10T18:34:41.175Z,pressure,9,talking,25.48,2021-02-10 18:34:41.175
104,77248,27.89,2021-02-10T18:34:41.205Z,temperature,9,talking,18.12,2021-02-10 18:34:41.205
105,77380,1006.72,2021-02-10T18:34:41.215Z,pressure,9,talking,25.48,2021-02-10 18:34:41.215
106,77379,1006.69,2021-02-10T18:34:41.254Z,pressure,9,talking,25.48,2021-02-10 18:34:41.254
107,77247,27.98,2021-02-10T18:34:41.260Z,temperature,9,talking,18.12,2021-02-10 18:34:41.260
108,77378,1006.73,2021-02-10T18:34:41.293Z,pressure,9,talking,25.48,2021-02-10 18:34:41.293
109,77246,28.01,2021-02-10T18:34:41.315Z,temperature,9,talking,18.12,2021-02-10 18:34:41.315
110,77377,1006.7,2021-02-10T18:34:41.332Z,pressure,9,talking,25.48,2021-02-10 18:34:41.332
111,77245,28.02,2021-02-10T18:34:41.371Z,temperature,9,talking,18.12,2021-02-10 18:34:41.371
112,77376,1006.7,2021-02-10T18:34:41.372Z,pressure,9,talking,25.48,2021-02-10 18:34:41.372
113,77375,1006.68,2021-02-10T18:34:41.411Z,pressure,9,talking,25.48,2021-02-10 18:34:41.411
114,77244,28.04,2021-02-10T18:34:41.426Z,temperature,9,talking,18.12,2021-02-10 18:34:41.426
