,id,value,date,type,event_id,event_type,frequency
1,147271.0,1006.87,2021-02-12T18:12:05.928Z,pressure,17.0,other,25.44
2,147270.0,1006.82,2021-02-12T18:12:05.967Z,pressure,17.0,other,25.44
4,147269.0,1006.86,2021-02-12T18:12:06.006Z,pressure,17.0,other,25.44
6,147268.0,1006.9,2021-02-12T18:12:06.046Z,pressure,17.0,other,25.44
8,147267.0,1006.87,2021-02-12T18:12:06.085Z,pressure,17.0,other,25.44
9,147266.0,1006.9,2021-02-12T18:12:06.124Z,pressure,17.0,other,25.44
11,147265.0,1006.87,2021-02-12T18:12:06.164Z,pressure,17.0,other,25.44
13,147264.0,1006.85,2021-02-12T18:12:06.203Z,pressure,17.0,other,25.44
14,147263.0,1006.89,2021-02-12T18:12:06.242Z,pressure,17.0,other,25.44
16,147262.0,1006.88,2021-02-12T18:12:06.282Z,pressure,17.0,other,25.44
18,147261.0,1006.91,2021-02-12T18:12:06.321Z,pressure,17.0,other,25.44
20,147260.0,1006.89,2021-02-12T18:12:06.360Z,pressure,17.0,other,25.44
21,147259.0,1006.88,2021-02-12T18:12:06.399Z,pressure,17.0,other,25.44
23,147258.0,1006.88,2021-02-12T18:12:06.439Z,pressure,17.0,other,25.44
25,147257.0,1006.88,2021-02-12T18:12:06.478Z,pressure,17.0,other,25.44
26,147256.0,1006.93,2021-02-12T18:12:06.517Z,pressure,17.0,other,25.44
28,147255.0,1006.91,2021-02-12T18:12:06.557Z,pressure,17.0,other,25.44
30,147254.0,1006.88,2021-02-12T18:12:06.596Z,pressure,17.0,other,25.44
32,147253.0,1006.9,2021-02-12T18:12:06.635Z,pressure,17.0,other,25.44
33,147252.0,1006.87,2021-02-12T18:12:06.675Z,pressure,17.0,other,25.44
35,147251.0,1006.92,2021-02-12T18:12:06.714Z,pressure,17.0,other,25.44
37,147250.0,1006.87,2021-02-12T18:12:06.753Z,pressure,17.0,other,25.44
38,147249.0,1006.88,2021-02-12T18:12:06.793Z,pressure,17.0,other,25.44
40,147248.0,1006.88,2021-02-12T18:12:06.832Z,pressure,17.0,other,25.44
42,147247.0,1006.85,2021-02-12T18:12:06.871Z,pressure,17.0,other,25.44
44,147246.0,1006.89,2021-02-12T18:12:06.910Z,pressure,17.0,other,25.44
45,147245.0,1006.88,2021-02-12T18:12:06.950Z,pressure,17.0,other,25.44
47,147244.0,1006.88,2021-02-12T18:12:06.989Z,pressure,17.0,other,25.44
49,147243.0,1006.86,2021-02-12T18:12:07.028Z,pressure,17.0,other,25.44
50,147242.0,1006.86,2021-02-12T18:12:07.068Z,pressure,17.0,other,25.44
52,147241.0,1006.91,2021-02-12T18:12:07.107Z,pressure,17.0,other,25.44
54,147240.0,1006.88,2021-02-12T18:12:07.146Z,pressure,17.0,other,25.44
56,147239.0,1006.9,2021-02-12T18:12:07.186Z,pressure,17.0,other,25.44
57,147238.0,1006.88,2021-02-12T18:12:07.225Z,pressure,17.0,other,25.44
59,147237.0,1006.86,2021-02-12T18:12:07.264Z,pressure,17.0,other,25.44
61,147236.0,1006.87,2021-02-12T18:12:07.304Z,pressure,17.0,other,25.44
62,147235.0,1006.87,2021-02-12T18:12:07.343Z,pressure,17.0,other,25.44
64,147234.0,1006.86,2021-02-12T18:12:07.382Z,pressure,17.0,other,25.44
66,147233.0,1006.84,2021-02-12T18:12:07.421Z,pressure,17.0,other,25.44
68,147232.0,1006.88,2021-02-12T18:12:07.461Z,pressure,17.0,other,25.44
69,147231.0,1006.89,2021-02-12T18:12:07.500Z,pressure,17.0,other,25.44
71,147230.0,1006.89,2021-02-12T18:12:07.539Z,pressure,17.0,other,25.44
73,147229.0,1006.9,2021-02-12T18:12:07.579Z,pressure,17.0,other,25.44
74,147228.0,1006.87,2021-02-12T18:12:07.618Z,pressure,17.0,other,25.44
76,147227.0,1006.86,2021-02-12T18:12:07.657Z,pressure,17.0,other,25.44
78,147226.0,1006.86,2021-02-12T18:12:07.697Z,pressure,17.0,other,25.44
80,147225.0,1006.89,2021-02-12T18:12:07.736Z,pressure,17.0,other,25.44
81,147224.0,1006.86,2021-02-12T18:12:07.775Z,pressure,17.0,other,25.44
83,147223.0,1006.9,2021-02-12T18:12:07.815Z,pressure,17.0,other,25.44
85,147222.0,1006.87,2021-02-12T18:12:07.854Z,pressure,17.0,other,25.44
86,147221.0,1006.89,2021-02-12T18:12:07.893Z,pressure,17.0,other,25.44
88,147220.0,1006.87,2021-02-12T18:12:07.932Z,pressure,17.0,other,25.44
90,147219.0,1006.88,2021-02-12T18:12:07.972Z,pressure,17.0,other,25.44
92,147218.0,1006.87,2021-02-12T18:12:08.011Z,pressure,17.0,other,25.44
93,147217.0,1006.91,2021-02-12T18:12:08.050Z,pressure,17.0,other,25.44
95,147216.0,1006.9,2021-02-12T18:12:08.090Z,pressure,17.0,other,25.44
97,147215.0,1006.88,2021-02-12T18:12:08.129Z,pressure,17.0,other,25.44
98,147214.0,1006.89,2021-02-12T18:12:08.168Z,pressure,17.0,other,25.44
100,147213.0,1006.88,2021-02-12T18:12:08.208Z,pressure,17.0,other,25.44
102,147212.0,1006.91,2021-02-12T18:12:08.247Z,pressure,17.0,other,25.44
104,147211.0,1006.89,2021-02-12T18:12:08.286Z,pressure,17.0,other,25.44
105,147210.0,1006.88,2021-02-12T18:12:08.326Z,pressure,17.0,other,25.44
107,147209.0,1006.88,2021-02-12T18:12:08.365Z,pressure,17.0,other,25.44
109,147500.0,1006.87,2021-02-12T18:12:08.412Z,pressure,17.0,other,25.44
111,147499.0,1006.91,2021-02-12T18:12:08.452Z,pressure,17.0,other,25.44
112,147498.0,1006.9,2021-02-12T18:12:08.491Z,pressure,17.0,other,25.44
114,147497.0,1006.89,2021-02-12T18:12:08.530Z,pressure,17.0,other,25.44
116,147496.0,1006.89,2021-02-12T18:12:08.570Z,pressure,17.0,other,25.44
117,147495.0,1006.87,2021-02-12T18:12:08.609Z,pressure,17.0,other,25.44
119,147494.0,1006.88,2021-02-12T18:12:08.648Z,pressure,17.0,other,25.44
121,147493.0,1006.89,2021-02-12T18:12:08.688Z,pressure,17.0,other,25.44
123,147492.0,1006.88,2021-02-12T18:12:08.727Z,pressure,17.0,other,25.44
124,147491.0,1006.9,2021-02-12T18:12:08.766Z,pressure,17.0,other,25.44
126,147490.0,1006.91,2021-02-12T18:12:08.806Z,pressure,17.0,other,25.44
128,147489.0,1006.88,2021-02-12T18:12:08.845Z,pressure,17.0,other,25.44
129,147488.0,1006.87,2021-02-12T18:12:08.884Z,pressure,17.0,other,25.44
131,147487.0,1006.89,2021-02-12T18:12:08.923Z,pressure,17.0,other,25.44
133,147486.0,1006.91,2021-02-12T18:12:08.963Z,pressure,17.0,other,25.44
135,147485.0,1006.88,2021-02-12T18:12:09.002Z,pressure,17.0,other,25.44
136,147484.0,1006.87,2021-02-12T18:12:09.041Z,pressure,17.0,other,25.44
138,147483.0,1006.88,2021-02-12T18:12:09.081Z,pressure,17.0,other,25.44
140,147482.0,1006.9,2021-02-12T18:12:09.120Z,pressure,17.0,other,25.44
141,147481.0,1006.84,2021-02-12T18:12:09.159Z,pressure,17.0,other,25.44
143,147480.0,1006.88,2021-02-12T18:12:09.199Z,pressure,17.0,other,25.44
145,147479.0,1006.88,2021-02-12T18:12:09.238Z,pressure,17.0,other,25.44
147,147478.0,1006.88,2021-02-12T18:12:09.277Z,pressure,17.0,other,25.44
148,147477.0,1006.86,2021-02-12T18:12:09.317Z,pressure,17.0,other,25.44
150,147476.0,1006.91,2021-02-12T18:12:09.356Z,pressure,17.0,other,25.44
152,147475.0,1006.88,2021-02-12T18:12:09.395Z,pressure,17.0,other,25.44
153,147474.0,1006.85,2021-02-12T18:12:09.434Z,pressure,17.0,other,25.44
155,147473.0,1006.89,2021-02-12T18:12:09.474Z,pressure,17.0,other,25.44
157,147472.0,1006.86,2021-02-12T18:12:09.513Z,pressure,17.0,other,25.44
159,147471.0,1006.89,2021-02-12T18:12:09.552Z,pressure,17.0,other,25.44
160,147470.0,1006.89,2021-02-12T18:12:09.592Z,pressure,17.0,other,25.44
162,147469.0,1006.88,2021-02-12T18:12:09.631Z,pressure,17.0,other,25.44
164,147468.0,1006.9,2021-02-12T18:12:09.670Z,pressure,17.0,other,25.44
165,147467.0,1006.86,2021-02-12T18:12:09.710Z,pressure,17.0,other,25.44
167,147466.0,1006.86,2021-02-12T18:12:09.749Z,pressure,17.0,other,25.44
169,147465.0,1006.89,2021-02-12T18:12:09.788Z,pressure,17.0,other,25.44
171,147464.0,1006.91,2021-02-12T18:12:09.828Z,pressure,17.0,other,25.44
172,147463.0,1006.88,2021-02-12T18:12:09.867Z,pressure,17.0,other,25.44
174,147462.0,1006.9,2021-02-12T18:12:09.906Z,pressure,17.0,other,25.44
176,147461.0,1006.88,2021-02-12T18:12:09.945Z,pressure,17.0,other,25.44
177,147460.0,1006.91,2021-02-12T18:12:09.985Z,pressure,17.0,other,25.44
179,147459.0,1006.87,2021-02-12T18:12:10.024Z,pressure,17.0,other,25.44
181,147458.0,1006.85,2021-02-12T18:12:10.063Z,pressure,17.0,other,25.44
183,147457.0,1006.89,2021-02-12T18:12:10.103Z,pressure,17.0,other,25.44
184,147456.0,1006.87,2021-02-12T18:12:10.142Z,pressure,17.0,other,25.44
186,147455.0,1006.86,2021-02-12T18:12:10.181Z,pressure,17.0,other,25.44
188,147454.0,1006.86,2021-02-12T18:12:10.221Z,pressure,17.0,other,25.44
189,147453.0,1006.9,2021-02-12T18:12:10.260Z,pressure,17.0,other,25.44
191,147452.0,1006.89,2021-02-12T18:12:10.299Z,pressure,17.0,other,25.44
193,147451.0,1006.9,2021-02-12T18:12:10.339Z,pressure,17.0,other,25.44
195,147450.0,1006.89,2021-02-12T18:12:10.378Z,pressure,17.0,other,25.44
196,147449.0,1006.86,2021-02-12T18:12:10.417Z,pressure,17.0,other,25.44
