,id,value,date,type,event_id,event_type,frequency
0,158702.0,1006.56,2021-02-12T20:21:59.270Z,pressure,18.0,other,25.44
2,158701.0,1006.59,2021-02-12T20:21:59.309Z,pressure,18.0,other,25.44
3,158700.0,1006.59,2021-02-12T20:21:59.348Z,pressure,18.0,other,25.44
5,158699.0,1006.59,2021-02-12T20:21:59.388Z,pressure,18.0,other,25.44
7,158698.0,1006.56,2021-02-12T20:21:59.427Z,pressure,18.0,other,25.44
9,158697.0,1006.58,2021-02-12T20:21:59.466Z,pressure,18.0,other,25.44
10,158696.0,1006.58,2021-02-12T20:21:59.506Z,pressure,18.0,other,25.44
12,158695.0,1006.59,2021-02-12T20:21:59.545Z,pressure,18.0,other,25.44
14,158694.0,1006.56,2021-02-12T20:21:59.584Z,pressure,18.0,other,25.44
15,158693.0,1006.6,2021-02-12T20:21:59.624Z,pressure,18.0,other,25.44
17,158692.0,1006.57,2021-02-12T20:21:59.663Z,pressure,18.0,other,25.44
19,158691.0,1006.59,2021-02-12T20:21:59.702Z,pressure,18.0,other,25.44
21,158690.0,1006.59,2021-02-12T20:21:59.741Z,pressure,18.0,other,25.44
22,158689.0,1006.6,2021-02-12T20:21:59.781Z,pressure,18.0,other,25.44
24,158688.0,1006.59,2021-02-12T20:21:59.820Z,pressure,18.0,other,25.44
26,158687.0,1006.6,2021-02-12T20:21:59.859Z,pressure,18.0,other,25.44
27,158686.0,1006.6,2021-02-12T20:21:59.899Z,pressure,18.0,other,25.44
29,158685.0,1006.57,2021-02-12T20:21:59.938Z,pressure,18.0,other,25.44
31,158684.0,1006.58,2021-02-12T20:21:59.977Z,pressure,18.0,other,25.44
33,158683.0,1006.59,2021-02-12T20:22:00.017Z,pressure,18.0,other,25.44
34,158682.0,1006.59,2021-02-12T20:22:00.056Z,pressure,18.0,other,25.44
36,158681.0,1006.59,2021-02-12T20:22:00.095Z,pressure,18.0,other,25.44
38,158680.0,1006.58,2021-02-12T20:22:00.135Z,pressure,18.0,other,25.44
39,158679.0,1006.6,2021-02-12T20:22:00.174Z,pressure,18.0,other,25.44
41,158678.0,1006.56,2021-02-12T20:22:00.213Z,pressure,18.0,other,25.44
43,158677.0,1006.58,2021-02-12T20:22:00.252Z,pressure,18.0,other,25.44
45,158676.0,1006.57,2021-02-12T20:22:00.292Z,pressure,18.0,other,25.44
46,158675.0,1006.57,2021-02-12T20:22:00.331Z,pressure,18.0,other,25.44
48,158674.0,1006.58,2021-02-12T20:22:00.370Z,pressure,18.0,other,25.44
50,158673.0,1006.6,2021-02-12T20:22:00.410Z,pressure,18.0,other,25.44
51,158672.0,1006.58,2021-02-12T20:22:00.449Z,pressure,18.0,other,25.44
53,158671.0,1006.55,2021-02-12T20:22:00.488Z,pressure,18.0,other,25.44
55,158670.0,1006.6,2021-02-12T20:22:00.528Z,pressure,18.0,other,25.44
57,158669.0,1006.57,2021-02-12T20:22:00.567Z,pressure,18.0,other,25.44
58,158668.0,1006.55,2021-02-12T20:22:00.606Z,pressure,18.0,other,25.44
60,158667.0,1006.56,2021-02-12T20:22:00.646Z,pressure,18.0,other,25.44
62,158666.0,1006.55,2021-02-12T20:22:00.685Z,pressure,18.0,other,25.44
63,158665.0,1006.57,2021-02-12T20:22:00.724Z,pressure,18.0,other,25.44
65,158664.0,1006.56,2021-02-12T20:22:00.763Z,pressure,18.0,other,25.44
67,158663.0,1006.62,2021-02-12T20:22:00.803Z,pressure,18.0,other,25.44
69,158662.0,1006.59,2021-02-12T20:22:00.842Z,pressure,18.0,other,25.44
70,158661.0,1006.58,2021-02-12T20:22:00.881Z,pressure,18.0,other,25.44
72,158660.0,1006.58,2021-02-12T20:22:00.921Z,pressure,18.0,other,25.44
74,158659.0,1006.58,2021-02-12T20:22:00.960Z,pressure,18.0,other,25.44
75,158658.0,1006.6,2021-02-12T20:22:00.999Z,pressure,18.0,other,25.44
77,158657.0,1006.6,2021-02-12T20:22:01.039Z,pressure,18.0,other,25.44
79,158656.0,1006.62,2021-02-12T20:22:01.078Z,pressure,18.0,other,25.44
81,158655.0,1006.58,2021-02-12T20:22:01.117Z,pressure,18.0,other,25.44
82,158654.0,1006.59,2021-02-12T20:22:01.157Z,pressure,18.0,other,25.44
84,158653.0,1006.49,2021-02-12T20:22:01.196Z,pressure,18.0,other,25.44
86,158652.0,1006.59,2021-02-12T20:22:01.235Z,pressure,18.0,other,25.44
87,158651.0,1006.55,2021-02-12T20:22:01.274Z,pressure,18.0,other,25.44
89,158650.0,1006.58,2021-02-12T20:22:01.314Z,pressure,18.0,other,25.44
91,158649.0,1006.6,2021-02-12T20:22:01.353Z,pressure,18.0,other,25.44
93,158648.0,1006.56,2021-02-12T20:22:01.392Z,pressure,18.0,other,25.44
94,158647.0,1006.57,2021-02-12T20:22:01.432Z,pressure,18.0,other,25.44
96,158646.0,1006.58,2021-02-12T20:22:01.471Z,pressure,18.0,other,25.44
98,158645.0,1006.59,2021-02-12T20:22:01.510Z,pressure,18.0,other,25.44
99,158644.0,1006.6,2021-02-12T20:22:01.550Z,pressure,18.0,other,25.44
101,158643.0,1006.62,2021-02-12T20:22:01.589Z,pressure,18.0,other,25.44
103,158642.0,1006.56,2021-02-12T20:22:01.628Z,pressure,18.0,other,25.44
105,158641.0,1006.61,2021-02-12T20:22:01.668Z,pressure,18.0,other,25.44
106,158640.0,1006.59,2021-02-12T20:22:01.707Z,pressure,18.0,other,25.44
108,158639.0,1006.56,2021-02-12T20:22:01.746Z,pressure,18.0,other,25.44
110,158638.0,1006.58,2021-02-12T20:22:01.785Z,pressure,18.0,other,25.44
111,158637.0,1006.57,2021-02-12T20:22:01.825Z,pressure,18.0,other,25.44
113,158636.0,1006.57,2021-02-12T20:22:01.864Z,pressure,18.0,other,25.44
115,158635.0,1006.57,2021-02-12T20:22:01.903Z,pressure,18.0,other,25.44
117,158634.0,1006.61,2021-02-12T20:22:01.943Z,pressure,18.0,other,25.44
118,158633.0,1006.56,2021-02-12T20:22:01.982Z,pressure,18.0,other,25.44
120,158632.0,1006.54,2021-02-12T20:22:02.021Z,pressure,18.0,other,25.44
122,158631.0,1006.56,2021-02-12T20:22:02.061Z,pressure,18.0,other,25.44
123,158630.0,1006.56,2021-02-12T20:22:02.100Z,pressure,18.0,other,25.44
125,158629.0,1006.57,2021-02-12T20:22:02.139Z,pressure,18.0,other,25.44
126,158920.0,1006.58,2021-02-12T20:22:02.139Z,pressure,18.0,other,25.44
128,158919.0,1006.55,2021-02-12T20:22:02.178Z,pressure,18.0,other,25.44
130,158918.0,1006.57,2021-02-12T20:22:02.217Z,pressure,18.0,other,25.44
