,id,value,date,type,event_id,event_type,frequency
1,1171.0,1006.85,2021-02-12T20:33:14.837Z,pressure,1.0,cough,25.44
3,1170.0,1006.85,2021-02-12T20:33:14.876Z,pressure,1.0,cough,25.44
4,1169.0,1006.86,2021-02-12T20:33:14.915Z,pressure,1.0,cough,25.44
6,1168.0,1006.87,2021-02-12T20:33:14.955Z,pressure,1.0,cough,25.44
8,1167.0,1006.87,2021-02-12T20:33:14.994Z,pressure,1.0,cough,25.44
10,1166.0,1006.9,2021-02-12T20:33:15.033Z,pressure,1.0,cough,25.44
11,1165.0,1006.86,2021-02-12T20:33:15.073Z,pressure,1.0,cough,25.44
13,1164.0,1006.85,2021-02-12T20:33:15.112Z,pressure,1.0,cough,25.44
15,1163.0,1006.85,2021-02-12T20:33:15.151Z,pressure,1.0,cough,25.44
16,1162.0,1006.85,2021-02-12T20:33:15.191Z,pressure,1.0,cough,25.44
18,1161.0,1006.88,2021-02-12T20:33:15.230Z,pressure,1.0,cough,25.44
20,1160.0,1006.85,2021-02-12T20:33:15.269Z,pressure,1.0,cough,25.44
22,1159.0,1006.85,2021-02-12T20:33:15.308Z,pressure,1.0,cough,25.44
23,1158.0,1006.89,2021-02-12T20:33:15.348Z,pressure,1.0,cough,25.44
25,1157.0,1006.88,2021-02-12T20:33:15.387Z,pressure,1.0,cough,25.44
27,1156.0,1006.83,2021-02-12T20:33:15.426Z,pressure,1.0,cough,25.44
28,1155.0,1006.85,2021-02-12T20:33:15.466Z,pressure,1.0,cough,25.44
30,1154.0,1006.88,2021-02-12T20:33:15.505Z,pressure,1.0,cough,25.44
32,1153.0,1006.87,2021-02-12T20:33:15.544Z,pressure,1.0,cough,25.44
34,1152.0,1006.87,2021-02-12T20:33:15.584Z,pressure,1.0,cough,25.44
35,1151.0,1006.89,2021-02-12T20:33:15.623Z,pressure,1.0,cough,25.44
37,1150.0,1006.88,2021-02-12T20:33:15.662Z,pressure,1.0,cough,25.44
39,1149.0,1006.86,2021-02-12T20:33:15.702Z,pressure,1.0,cough,25.44
40,1148.0,1006.88,2021-02-12T20:33:15.741Z,pressure,1.0,cough,25.44
42,1147.0,1006.87,2021-02-12T20:33:15.780Z,pressure,1.0,cough,25.44
44,1146.0,1006.88,2021-02-12T20:33:15.819Z,pressure,1.0,cough,25.44
46,1145.0,1006.86,2021-02-12T20:33:15.859Z,pressure,1.0,cough,25.44
47,1144.0,1006.82,2021-02-12T20:33:15.898Z,pressure,1.0,cough,25.44
49,1143.0,1006.82,2021-02-12T20:33:15.937Z,pressure,1.0,cough,25.44
51,1142.0,1006.88,2021-02-12T20:33:15.977Z,pressure,1.0,cough,25.44
